"ID","prompt","response","set","lab","responseorder","rating","rater1","rater2","rater3","rater4"
1,"konservendose","essen drinn",12,7,1,0.25,0,1,0,0
1,"konservendose","stiftehalter",12,7,2,1,1,1,1,1
1,"konservendose","schnurtelefon",12,7,3,1,1,1,1,1
1,"konservendose","instrument",12,7,4,1.5,2,1,1,2
1,"konservendose","dekoration",12,7,5,0.75,1,1,1,0
1,"konservendose","moderne kunst",12,7,6,1,1,1,1,1
1,"konservendose","alarmanlage",12,7,7,1.75,2,2,2,1
1,"konservendose","seifenkiste",12,7,8,1,1,2,0,1
2,"konservendose","darauf schießen",12,7,1,0.75,1,1,1,0
2,"konservendose","Pyramide bauen",12,7,2,1,1,1,1,1
2,"konservendose","Stifte aufbewahren",12,7,3,1,1,1,1,1
2,"konservendose","sammeln",12,7,4,0.75,1,1,1,0
2,"konservendose","ein Telefon bauen",12,7,5,1,1,1,1,1
2,"konservendose","Musik machen",12,7,6,1,1,1,1,1
2,"konservendose","ein kleines Schlagzeug bauen",12,7,7,2,3,1,2,2
2,"konservendose","jemanden anschießen",12,7,8,0.5,0,1,0,1
2,"konservendose","sich in den Finger schneiden",12,7,9,1,0,1,2,1
2,"konservendose","ein Fußballtor bauen",12,7,10,1.5,2,1,2,1
2,"konservendose","einen Hindernisslauf bauen",12,7,11,1.5,1,1,2,2
3,"konservendose","als stifthalter",12,7,1,1,1,1,1,1
3,"konservendose","als musikinstrument",12,7,2,1,1,1,1,1
3,"konservendose","als mülleimer",12,7,3,1,1,1,1,1
3,"konservendose","als gefängnis für ein tier",12,7,4,1.5,2,2,1,1
3,"konservendose","als unterlage für ein rundes objekt, damit es nicht wegrollt",12,7,5,1.5,2,1,1,2
3,"konservendose","als podest für einen gegenstand",12,7,6,1.25,1,1,1,2
3,"konservendose","als hamsterlaufrad",12,7,7,1.5,2,2,1,1
4,"konservendose","Elephantenrüssel",12,7,1,2,2,2,2,2
4,"konservendose","Kekse ausstechen",12,7,2,1,1,1,1,1
4,"konservendose","Hut",12,7,3,1.25,2,1,1,1
4,"konservendose","Waffe",12,7,4,1,1,1,1,1
4,"konservendose","Schneidewerkzeug",12,7,5,1.25,1,1,2,1
4,"konservendose","Dinge aufbewahren",12,7,6,0.75,1,1,1,0
4,"konservendose","Iglu bauen",12,7,7,1.25,1,2,1,1
5,"konservendose","aufbewahrung",12,7,1,0.5,1,1,0,0
5,"konservendose","als Schlagmusikinstrument verwenden",12,7,2,1.25,1,1,1,2
5,"konservendose","recycle",12,7,3,0.5,1,0,1,0
5,"konservendose","wasserbehälter",12,7,4,1,1,1,1,1
5,"konservendose","getränkbecher",12,7,5,1,1,1,1,1
6,"konservendose","Vase",12,7,1,1,1,1,1,1
6,"konservendose","Molokoffcocktail",12,7,2,1.75,1,2,2,2
6,"konservendose","Fußball",12,7,3,1,1,1,1,1
6,"konservendose","Rassel",12,7,4,1,1,1,1,1
6,"konservendose","Beschwerer",12,7,5,1.25,2,1,1,1
6,"konservendose","Fernrohr",12,7,6,1,1,2,0,1
6,"konservendose","Stiftebox",12,7,7,1,1,1,1,1
6,"konservendose","Spardose",12,7,8,1.25,1,2,1,1
6,"konservendose","Schatzdose",12,7,9,1,1,1,1,1
6,"konservendose","Büroutensil",12,7,10,1,1,1,1,1
6,"konservendose","Spielzeug",12,7,11,1,1,1,1,1
6,"konservendose","Essschale",12,7,12,0.25,0,1,0,0
6,"konservendose","Blumendopf",12,7,13,1,1,1,1,1
6,"konservendose","Biotop",12,7,14,1.25,2,1,1,1
6,"konservendose","Erinnerungsbox",12,7,15,1,1,1,1,1
6,"konservendose","Wurfgeschoss",12,7,16,1,1,1,1,1
6,"konservendose","Musikinstrument",12,7,17,1,1,1,1,1
6,"konservendose","Häuschen",12,7,18,1.25,1,2,1,1
7,"konservendose","Schmuckkästchen",12,7,1,1,1,1,1,1
7,"konservendose","Tasche",12,7,2,1.75,1,2,2,2
7,"konservendose","Vorhang",12,7,3,1.5,2,2,0,2
7,"konservendose","Kunstgegenstand",12,7,4,1.25,1,1,1,2
7,"konservendose","Aufbewahrung",12,7,5,0.5,1,1,0,0
7,"konservendose","Panzer",12,7,6,0.75,2,0,0,1
7,"konservendose","Frisbee",12,7,7,2,2,2,2,2
7,"konservendose","Rüstung",12,7,8,1.75,2,2,1,2
7,"konservendose","leitung",12,7,9,1,2,1,0,1
8,"konservendose","fussball",12,7,1,1,1,1,1,1
8,"konservendose","zur aufbewahrung von kleinigkeiten",12,7,2,1,1,1,1,1
8,"konservendose","als rassel",12,7,3,1,1,1,1,1
8,"konservendose","als wurfgesoss",12,7,4,1,1,1,1,1
8,"konservendose","als biotop für ameisen",12,7,5,1.25,2,1,1,1
8,"konservendose","um zb ein modell (haus) zu bauen",12,7,6,1.25,2,1,1,1
8,"konservendose","zum kegeln",12,7,7,1,1,1,1,1
8,"konservendose","als ziel (um stein hinein zu werfen)",12,7,8,1,1,1,1,1
8,"konservendose","als hässlichen hut",12,7,9,1.5,2,2,1,1
8,"konservendose","als türstopper (wenn gefüllt)",12,7,10,1.25,1,2,1,1
9,"konservendose","chneiden",12,7,1,0,0,0,0,0
9,"konservendose","Kerzenhalter",12,7,2,1,1,1,1,1
9,"konservendose","Behälter zum Sachen aufbewahren",12,7,3,0.5,1,1,0,0
9,"konservendose","trinkbecher",12,7,4,1,1,1,1,1
9,"konservendose","Zahnpustbecher",12,7,5,1,1,1,1,1
9,"konservendose","Zahnputzbecher",12,7,6,1,1,1,1,1
9,"konservendose","mit einer anderen verbinden --> hörgerät",12,7,7,1.25,2,1,1,1
9,"konservendose","Bleistift becher",12,7,8,1,1,1,1,1
10,"konservendose","Blumenvase",12,7,1,1,1,1,1,1
10,"konservendose","Blumentopf",12,7,2,1,1,1,1,1
10,"konservendose","Schnurtelefon",12,7,3,1,1,1,1,1
10,"konservendose","Trommel",12,7,4,1,1,1,1,1
10,"konservendose","Mäusehöhle",12,7,5,1.5,1,2,1,2
10,"konservendose","Stelzen",12,7,6,1.25,1,2,1,1
11,"konservendose","Schuckdose",12,7,1,1,1,1,1,1
11,"konservendose","Rasel",12,7,2,1,1,1,1,1
11,"konservendose","Sammelstück",12,7,3,1.25,1,2,1,1
11,"konservendose","Hut",12,7,4,1.25,2,1,1,1
11,"konservendose","Murmelhalter",12,7,5,1,1,1,1,1
11,"konservendose","Keksstecher",12,7,6,1,1,1,1,1
11,"konservendose","Gewicht zum Trainieren",12,7,7,1,1,1,1,1
11,"konservendose","Dekoration",12,7,8,0.75,1,1,1,0
11,"konservendose","zum Spielen",12,7,9,1,1,1,1,1
12,"konservendose","instrument",12,7,1,1.5,2,1,1,2
12,"konservendose","telefon",12,7,2,1,1,1,1,1
12,"konservendose","klingel",12,7,3,1.5,2,2,1,1
12,"konservendose","aufbewahrungsbehälter",12,7,4,0.25,0,1,0,0
12,"konservendose","hut",12,7,5,1.25,2,1,1,1
12,"konservendose","hochzeit",12,7,6,1.25,1,1,2,1
12,"konservendose","mausefalle",12,7,7,1.75,1,2,2,2
12,"konservendose","schablone",12,7,8,1,1,1,1,1
12,"konservendose","nudelwalker",12,7,9,1.5,2,2,1,1
12,"konservendose","trinkglas",12,7,10,1,1,1,1,1
12,"konservendose","vase",12,7,11,1,1,1,1,1
12,"konservendose","krug",12,7,12,1,1,1,1,1
12,"konservendose","blumentopf",12,7,13,1,1,1,1,1
12,"konservendose","massagegerät",12,7,14,2.5,2,2,3,3
12,"konservendose","stelzen",12,7,15,1.25,1,2,1,1
13,"konservendose","Gulaschbombe",12,7,1,0.75,2,0,1,0
13,"konservendose","Trommel basteln",12,7,2,1,1,1,1,1
13,"konservendose","Wasser schöpfen",12,7,3,1,1,1,1,1
13,"konservendose","Musikinstrument (Rassel) basteln",12,7,4,1,1,1,1,1
13,"konservendose","Ziel für Schießübungen",12,7,5,1,1,1,1,1
13,"konservendose","Pyramide bauen",12,7,6,1,1,1,1,1
13,"konservendose","Stiftbehälter",12,7,7,1,1,1,1,1
13,"konservendose","Tischerhöhung",12,7,8,1.25,2,1,1,1
14,"konservendose","Blumentopf",12,7,1,1,1,1,1,1
14,"konservendose","Klopapierrollenhalter",12,7,2,2,3,2,2,1
14,"konservendose","Schmuckkästchen",12,7,3,1,1,1,1,1
14,"konservendose","Hut",12,7,4,1.25,2,1,1,1
14,"konservendose","Sparschwein",12,7,5,1.25,1,2,1,1
15,"konservendose","dekorationsbehälter",12,7,1,0.75,1,1,1,0
15,"konservendose","kleiner Blumentopf",12,7,2,1.25,1,2,1,1
15,"konservendose","Sparschwein",12,7,3,1.25,1,2,1,1
15,"konservendose","Bleistift bzw. Stiftdose am Schreibtisch",12,7,4,1,1,1,1,1
15,"konservendose","imaginärer Baswketballkrob zum Versenken von Papierkügelchen",12,7,5,2,2,2,3,1
15,"konservendose","Spinnenfalle",12,7,6,1.25,1,2,1,1
15,"konservendose","Aschenbecher",12,7,7,1,2,1,1,0
15,"konservendose","Kleiner Müllkübel für Bierdeckel",12,7,8,1,1,1,1,1
16,"konservendose","Büchsenschießen",12,7,1,1,1,1,1,1
16,"konservendose","konservieren",12,7,2,0,0,0,0,0
16,"konservendose","telefon basteln",12,7,3,1,1,1,1,1
16,"konservendose","einrichtungsgegenstand basteln",12,7,4,1,1,1,1,1
16,"konservendose","""stelzen"" laufen",12,7,5,1.25,1,2,1,1
16,"konservendose","essen aufwärmen",12,7,6,0.25,0,1,0,0
16,"konservendose","ableiter machen",12,7,7,2,2,2,2,2
16,"konservendose","auf haring beim campen stülpen",12,7,8,1.5,2,2,1,1
17,"konservendose","als lampe",12,7,1,1.75,3,2,1,1
17,"konservendose","als aschenbecher",12,7,2,1,2,1,1,0
17,"konservendose","als keksausstecher",12,7,3,1,1,1,1,1
17,"konservendose","boot für puppen",12,7,4,2,2,2,2,2
17,"konservendose","mausefalle",12,7,5,1.75,1,2,2,2
17,"konservendose","transportbox",12,7,6,0.75,0,1,1,1
17,"konservendose","blumenwase",12,7,7,1,1,1,1,1
18,"konservendose","Trommel",12,7,1,1,1,1,1,1
18,"konservendose","Schnurtelefon",12,7,2,1,1,1,1,1
