ID,prompt,response,itemID,rater1,rater2,rater3,rater4
1001,积木,房子,1001,2,1,1,1
1001,积木,牢笼,1001,2,4,3,4
1001,漏斗,帽子,1002,2,2,1,3
1001,漏斗,望远镜,1002,2,2,2,3
1001,轮胎,呼啦圈,1003,2,2,1,3
1001,轮胎,会走的房子,1003,3,3,0,3
1001,盘子,唱片,1004,3,3,2,3
1001,盘子,飞碟,1004,2,2,1,3
1001,皮带,海草,1005,0,2,1,3
1001,皮带,假发,1005,2,2,1,1
1001,塑料袋,减速器,1006,3,3,3,3
1001,塑料袋,热气球,1006,0,2,1,3
1001,西瓜,灯笼,1007,2,2,2,3
1001,西瓜,瓜娃子,1007,0,0,1,3
1001,牙签,金箍棒,1008,2,2,1,3
1001,牙签,绣花针,1008,2,2,1,3
1001,锅,红太狼,1009,0,0,0,2
1001,锅,煎蛋,1009,1,1,1,3
1001,蚊帐,仙女裙,1010,3,2,1,3
1001,蚊帐,新娘的头纱,1010,2,2,1,3
1001,头发,马尾,1011,1,1,1,3
1001,头发,鱼线,1011,3,1,1,3
1001,纸盒,存钱罐,1012,2,1,1,2
1001,纸盒,娃娃的房子,1012,2,2,1,3
1001,铁链,犯人,1013,0,2,1,1
1001,铁链,拉油车导电,1013,2,3,1,3
1001,硬币,眼睛,1014,0,2,2,3
1001,硬币,装有钱,1014,2,1,1,3
1001,字典,板砖,1015,2,1,1,1
1001,字典,砸人,1015,2,1,1,3
1002,积木,测智商,1001,2,4,3,1
1002,积木,赚钱,1001,1,2,1,3
1002,漏斗,倒油,1002,1,1,2,4
1002,漏斗,记时,1002,1,3,1,3
1002,轮胎,秋千,1003,2,3,2,2
1002,轮胎,游泳圈,1003,2,2,1,3
1002,盘子,观赏,1004,1,2,2,2
1002,盘子,用作艺术制作,1004,2,3,2,3
1002,皮带,虐待,1005,2,3,1,1
1002,皮带,训练宠物,1005,2,3,1,3
1002,塑料袋,填海,1006,3,2,1,3
1002,塑料袋,凶器,1006,2,2,2,3
1002,西瓜,冰淇淋,1007,2,1,1,3
1002,西瓜,皮球,1007,2,2,1,2
1002,牙签,吃水果用,1008,2,2,1,2
1002,牙签,针,1008,2,2,1,2
1002,锅,背锅,1009,2,2,1,1
1002,锅,二锅头,1009,0,2,1,3
1002,蚊帐,捕鱼,1010,2,1,1,3
1002,蚊帐,婚纱,1010,3,2,1,3
1002,头发,缝针线,1011,2,1,1,2
1002,头发,火药,1011,3,3,2,3
1002,纸盒,快递,1012,1,1,1,3
1002,纸盒,纸玩具,1012,2,2,1,3
1002,铁链,拴宠物,1013,2,2,1,3
1002,铁链,栅栏,1013,2,2,1,3
1002,硬币,赌博,1014,1,1,1,3
1002,硬币,抓阄,1014,2,3,1,3
1002,字典,垫脚石,1015,2,2,1,3
1002,字典,枕头,1015,2,1,1,3
1003,积木,撑衣杆,1001,2,2,2,3
1003,积木,地砖,1001,2,2,1,3
1003,漏斗,帽子,1002,2,2,1,3
1003,漏斗,裙撑,1002,3,3,3,3
1003,轮胎,房子,1003,3,2,2,4
1003,轮胎,小船,1003,2,1,2,3
1003,盘子,挂钟,1004,3,3,2,3
1003,盘子,画板,1004,2,3,2,3
1003,皮带,秋千绳,1005,2,2,1,2
1003,皮带,项链,1005,2,1,1,2
1003,塑料袋,衣服,1006,2,2,1,2
1003,塑料袋,雨衣,1006,2,1,1,3
1003,西瓜,帽子,1007,2,2,1,3
1003,西瓜,汤碗,1007,2,2,1,2
1003,牙签,模型,1008,2,2,1,3
1003,牙签,指压板,1008,3,2,1,2
1003,锅,乒乓球拍,1009,3,2,2,3
1003,锅,雨伞,1009,2,2,2,2
1003,蚊帐,裙子,1010,2,2,1,3
1003,蚊帐,头花,1010,3,2,1,3
1003,头发,戒指,1011,2,3,2,3
1003,头发,手绳,1011,2,2,1,3
1003,纸盒,变形金刚外科,1012,2,3,2,2
1003,纸盒,沙发,1012,3,2,1,3
1003,铁链,风铃,1013,3,3,2,3
1003,铁链,项链,1013,3,2,1,2
1003,硬币,盒子,1014,2,2,2,3
1003,硬币,拼成地板,1014,3,2,2,3
1003,字典,存钱罐,1015,2,1,2,2
1003,字典,盒子,1015,2,1,1,0
1004,积木,家具,1001,2,2,2,3
1004,积木,桥,1001,2,2,2,2
1004,漏斗,屋顶,1002,2,3,1,2
1004,漏斗,装饰品,1002,1,2,2,2
1004,轮胎,板凳,1003,2,2,2,3
1004,轮胎,秋千,1003,2,3,2,2
1004,盘子,飞镖,1004,2,2,2,3
1004,盘子,墙饰,1004,2,3,2,3
1004,皮带,软尺,1005,3,3,2,2
1004,皮带,绳子,1005,2,1,1,3
1004,塑料袋,浇花的,1006,2,2,2,2
1004,塑料袋,帽子,1006,2,2,2,3
1004,西瓜,帽子,1007,2,2,1,3
1004,西瓜,衣服,1007,2,2,1,1
1004,牙签,做模型,1008,2,2,1,3
1004,牙签,做玩具房,1008,2,2,1,2
1004,锅,武器,1009,2,2,1,3
1004,锅,羽毛球拍,1009,3,2,2,3
1004,蚊帐,吊床,1010,3,2,2,3
1004,蚊帐,网鱼,1010,2,1,1,3
1004,头发,缝衣服的线,1011,2,1,1,2
1004,头发,开锁,1011,3,3,2,3
1004,纸盒,房子,1012,2,2,2,3
1004,纸盒,衣服,1012,2,2,2,3
1004,铁链,秋千,1013,2,2,2,3
1004,铁链,跳绳,1013,0,2,2,2
1004,硬币,子弹,1014,3,2,2,3
1004,硬币,做模型,1014,2,2,2,3
1004,字典,藏手机,1015,2,2,1,2
1004,字典,垫桌子,1015,2,1,1,3
1005,积木,当柴火烧,1001,1,1,1,3
1005,积木,做小船的工艺品,1001,1,3,2,3
1005,漏斗,过滤酒,1002,1,1,1,2
1005,漏斗,时光沙漏,1002,1,3,1,3
1005,轮胎,改造成座椅沙发,1003,2,1,2,3
1005,轮胎,游泳圈,1003,2,2,1,3
1005,盘子,养绿植,1004,2,2,2,2
1005,盘子,装饰品,1004,2,2,1,3
1005,皮带,SM,1005,2,3,1,3
1005,皮带,急救带,1005,2,2,1,3
1005,塑料袋,毽子,1006,3,2,2,2
1005,塑料袋,裙子,1006,2,2,2,3
1005,西瓜,肥料,1007,2,1,1,3
1005,西瓜,西瓜灯,1007,2,2,2,3
1005,牙签,把尖头去掉拼成纸巾盒,1008,3,2,1,3
1005,牙签,戳气球,1008,2,1,1,2
1005,锅,打灰太狼,1009,2,2,1,3
1005,锅,护具,1009,2,2,2,3
1005,蚊帐,做滤网,1010,2,1,2,3
1005,蚊帐,做裙子,1010,2,2,1,3
1005,头发,假发,1011,2,2,1,3
1005,头发,通过化学工艺变成钻石,1011,5,3,4,3
1005,纸盒,笔筒,1012,2,2,1,3
1005,纸盒,盖宠物窝,1012,2,2,1,3
1005,铁链,SM,1013,2,2,1,2
1005,铁链,项链,1013,3,2,1,2
1005,硬币,测量工具,1014,3,2,1,3
1005,硬币,研究,1014,2,3,2,3
1005,字典,压平纸张之类的,1015,2,1,1,3
1005,字典,砸人,1015,2,1,1,3
1006,积木,模型,1001,1,3,2,2
1006,积木,拼图,1001,2,2,2,1
1006,漏斗,毽子,1002,2,3,1,3
1006,漏斗,陀螺,1002,2,2,2,3
1006,轮胎,举重,1003,2,2,1,3
1006,轮胎,秋千,1003,2,3,2,2
1006,盘子,飞镖,1004,2,2,2,3
1006,盘子,装饰品,1004,2,2,1,3
1006,皮带,墙面挂钩,1005,2,2,2,2
1006,皮带,置物板,1005,3,2,2,3
1006,塑料袋,保鲜食物,1006,2,1,1,3
1006,塑料袋,气球,1006,2,2,1,3
1006,西瓜,雕刻品,1007,2,2,2,3
1006,西瓜,头盔,1007,2,2,1,4
1006,牙签,书签,1008,2,2,1,3
1006,牙签,竹蜻蜓,1008,2,2,1,2
1006,锅,防弹衣,1009,2,2,1,2
