"ID","prompt","response","set","lab","rater1","rater2","rater3","RAPM-Gf","BFI-Extraversion","BFI-Agreeableness","BFI-Consciousness","BFI-Openness","BFI-Neuroticism"
1,"картонная коробка","Сделать из коробки тумбу с ящиками",22,13,2,2,2,8,28,19,24,39,34
2,"картонная коробка","Сделать полноценный жилой дом",22,13,1,2,1,8,28,19,24,39,34
3,"картонная коробка","Раскрасить и расклеить вместо обоев",22,13,2,2,2,8,28,19,24,39,34
4,"картонная коробка","Использовать в качестве декора",22,13,2,2,2,8,28,19,24,39,34
5,"картонная коробка","Изготовление блокнотов",22,13,3,2,2,8,28,19,24,39,34
6,"картонная коробка","Домик для детей",22,13,1,1,1,8,28,19,24,39,34
7,"картонная коробка","Сделать крылья",22,13,2,3,2,8,28,19,24,39,34
8,"картонная коробка","Склеить из маленьких коробок одну большую",22,13,1,2,1,8,28,19,24,39,34
9,"картонная коробка","Использовать материал для изготовления масок",22,13,2,2,2,8,28,19,24,39,34
10,"картонная коробка","Использовать в качестве холста",22,13,1,1,2,8,28,19,24,39,34
11,"картонная коробка","Вырезать фигурки из коробок разных цветов, делая картину",22,13,2,2,2,8,28,19,24,39,34
12,"картонная коробка","Вырезать различные декорации и инвентарь",22,13,2,2,2,8,28,19,24,39,34
13,"картонная коробка","Вырезать тонкие полосочки и повесить их вместо занавесок",22,13,4,4,3,8,28,19,24,39,34
14,"картонная коробка","Сделать шляпу",22,13,2,3,3,8,28,19,24,39,34
15,"картонная коробка","Использовать их в качестве стаканчиков для воды",22,13,3,3,2,8,28,19,24,39,34
16,"картонная коробка","Картон - прекрасные пробники для акварели и акрила",22,13,3,2,2,8,28,19,24,39,34
17,"картонная коробка","Использовать их как основу для изделий",22,13,1,1,2,8,28,19,24,39,34
18,"картонная коробка","Подставка для пишущих принадлежностей",22,13,2,3,2,13,36,31,30,36,26
19,"картонная коробка","Ловушки для воров (если они разбросаны по помещению)",22,13,4,4,4,13,36,31,30,36,26
20,"картонная коробка","Часть коробки - толстая обложка для блокнота (самодельного)",22,13,3,2,2,13,36,31,30,36,26
21,"картонная коробка","Модели зданий для архитекторов",22,13,3,3,2,13,36,31,30,36,26
22,"картонная коробка","Модели роботов",22,13,3,3,2,13,36,31,30,36,26
23,"картонная коробка","Домик для кошки (из нескольких)",22,13,1,1,1,13,36,31,30,36,26
24,"картонная коробка","Ёмкость для сбора макулатуры",22,13,1,2,2,13,36,31,30,36,26
25,"картонная коробка","Горшок для рассады (временный)",22,13,1,3,3,13,36,31,30,36,26
26,"картонная коробка","Кашпо для цветов на даче (если красивая и небольшая коробка)",22,13,1,2,2,13,36,31,30,36,26
27,"картонная коробка","Корзина для ягод/грибов",22,13,2,2,1,13,36,31,30,36,26
28,"картонная коробка","Ящик для журналов и прочих безделушек",22,13,1,1,1,13,36,31,30,36,26
29,"картонная коробка","Шкаф для книг (из нескольких коробок)",22,13,2,3,2,13,36,31,30,36,26
30,"картонная коробка","Штаб для игры в войну (большие коробки + другие материалы)",22,13,2,3,2,13,36,31,30,36,26
31,"картонная коробка","Домик для кота",22,13,1,1,1,9,39,31,34,32,28
32,"картонная коробка","Сделать два выреза, один под размер телефона, а другой под размер головы (мини кинотеатр)",22,13,4,3,4,9,39,31,34,32,28
33,"картонная коробка","Сделать из них обои и разрисовать их",22,13,2,2,2,9,39,31,34,32,28
34,"картонная коробка","Детские игрушки",22,13,2,2,2,9,39,31,34,32,28
35,"картонная коробка","Значки разных ферм",22,13,1,2,1,9,39,31,34,32,28
36,"картонная коробка","Подставка для ботинок в прихожей",22,13,3,3,2,9,39,31,34,32,28
37,"картонная коробка","Обложка для тетради",22,13,3,2,2,9,39,31,34,32,28
38,"картонная коробка","Повесить как шторы",22,13,4,4,3,9,39,31,34,32,28
39,"картонная коробка","Шляпа от солнца",22,13,3,3,3,9,39,31,34,32,28
40,"картонная коробка","Зонт",22,13,3,3,2,9,39,31,34,32,28
41,"картонная коробка","Сделать пенал",22,13,2,3,2,9,39,31,34,32,28
42,"картонная коробка","Часы (солнечные)",22,13,3,5,3,9,39,31,34,32,28
43,"картонная коробка","Дом для кота",22,13,1,1,1,13,23,25,23,29,23
44,"картонная коробка","Санки",22,13,2,2,3,13,23,25,23,29,23
45,"картонная коробка","Машина",22,13,2,2,1,13,23,25,23,29,23
46,"картонная коробка","Ракета",22,13,2,2,2,13,23,25,23,29,23
47,"картонная коробка","Замок",22,13,1,2,1,13,23,25,23,29,23
48,"картонная коробка","Звёздное небо (проколоть дырки)",22,13,1,5,5,13,23,25,23,29,23
49,"картонная коробка","Костюм ""Кубик Рубика""",22,13,4,3,2,13,23,25,23,29,23
50,"картонная коробка","Лабиринт",22,13,3,3,2,13,23,25,23,29,23
51,"картонная коробка","Бумага для рисования",22,13,1,1,2,13,23,25,23,29,23
52,"картонная коробка","Корзина",22,13,1,2,1,13,23,25,23,29,23
53,"картонная коробка","Воздушный шар",22,13,2,3,1,13,23,25,23,29,23
54,"картонная коробка","Самолёт",22,13,2,2,2,13,23,25,23,29,23
55,"картонная коробка","Зона уединения",22,13,3,3,1,13,23,25,23,29,23
56,"картонная коробка","Место для ""пряток""",22,13,3,2,2,13,23,25,23,29,23
57,"картонная коробка","Забор (граница)",22,13,2,2,3,13,23,25,23,29,23
58,"картонная коробка","Тайник (маленькая коробка)",22,13,4,2,2,13,23,25,23,29,23
59,"картонная коробка","Вырезать отверстия глаз и получишь шлем из коробки",22,13,2,2,2,10,31,29,39,31,25
60,"картонная коробка","Отдать коробку домашнему животному, чтобы он там спал",22,13,1,1,1,10,31,29,39,31,25
61,"картонная коробка","Разрезать на картонные листы, на которых можно писать и рисовать",22,13,1,1,2,10,31,29,39,31,25
62,"картонная коробка","Отдать на переработку",22,13,1,1,1,10,31,29,39,31,25
63,"картонная коробка","Большую коробку использовать в качестве крепости",22,13,1,1,1,10,31,29,39,31,25
64,"картонная коробка","Построить гору из коробок под окном, чтобы было легче прыгать",22,13,2,4,3,10,31,29,39,31,25
65,"картонная коробка","Сделать домик для кота или собаки",22,13,1,1,1,10,22,39,39,21,37
66,"картонная коробка","Использовать как цветочный горшок",22,13,1,2,3,10,22,39,39,21,37
67,"картонная коробка","Крепость из коробок для детей",22,13,1,2,1,10,22,39,39,21,37
68,"картонная коробка","Скворечник (кормушка) для птиц",22,13,3,4,3,10,22,39,39,21,37
69,"картонная коробка","Использовать для постройки декораций, перекрашивая и разрезая на детали. Можно использовать в театрах и на киностудиях с маленьким бюджетом",22,13,2,3,2,12,23,37,31,28,22
70,"картонная коробка","Использовать коробки как дома для животных. Большие коробки могут стать будками для собак, а маленькие для домашних котов",22,13,1,1,1,12,23,37,31,28,22
71,"картонная коробка","Коробки можно использовать как шумоизоляцию",22,13,3,3,3,12,23,37,31,28,22
72,"картонная коробка","Коробки можно сжигать, используя огонь для сжигания мусора",22,13,3,3,1,12,23,37,31,28,22
73,"картонная коробка","Сделать из коробок мусоросжигатель, обклеив их теплоотталкивающими материалами",22,13,3,2,3,11,25,22,18,31,33
74,"картонная коробка","Сделать из коробок огромный тетрис и за определённое количество очков дарить коробку",22,13,4,4,5,11,25,22,18,31,33
75,"картонная коробка","Можно сделать огромное сито для большого количества воды",22,13,3,5,3,11,25,22,18,31,33
76,"картонная коробка","Можно сделать тесты, закрасив коробки в цвета и нарисовав другие цвета на них",22,13,2,2,3,11,25,22,18,31,33
77,"картонная коробка","Использовать в качестве щита при игре",22,13,2,3,2,16,27,28,31,32,32
78,"картонная коробка","В качестве игрушечного домика",22,13,1,1,2,16,27,28,31,32,32
79,"картонная коробка","В качестве реального жилища",22,13,1,1,1,16,27,28,31,32,32
80,"картонная коробка","Как объект вымещения агрессивных чувств",22,13,4,5,4,16,27,28,31,32,32
81,"картонная коробка","Для создания поделок",22,13,2,2,2,16,27,28,31,32,32
82,"картонная коробка","Как шлем",22,13,2,2,2,16,27,28,31,32,32
83,"картонная коробка","Как одежду",22,13,2,2,2,16,27,28,31,32,32
84,"картонная коробка","Как корпус для компьютера",22,13,3,3,3,16,27,28,31,32,32
85,"картонная коробка","Сделать конфетти",22,13,4,3,2,16,27,28,31,32,32
86,"картонная коробка","Для отопления сжигать",22,13,2,3,2,16,27,28,31,32,32
87,"картонная коробка","Домик для кота",22,13,1,1,1,11,30,25,28,25,35
88,"картонная коробка","Строительство замка из коробок",22,13,1,1,1,11,30,25,28,25,35
89,"картонная коробка","Домик для себя из коробки (большой)",22,13,1,1,1,11,30,25,28,25,35
90,"картонная коробка","Использовать как горшок для цветов (временный)",22,13,1,2,3,11,30,25,28,25,35
91,"картонная коробка","Использовать коробку как столик (подставку) для ноутбука, немного изменив её",22,13,3,3,2,11,30,25,28,25,35
92,"картонная коробка","Сделать место, куда можно поставить цветы",22,13,1,2,2,11,30,25,28,25,35
93,"картонная коробка","Из коробок можно построить огромный замок для себя и кота, если его раскрасить, будет как настоящий",22,13,1,2,1,10,36,31,33,39,18
94,"картонная коробка","Из разрезанной большой коробки можно сделать кукольный шоурум",22,13,3,3,3,10,36,31,33,39,18
95,"картонная коробка","Костюм на Хэллоуин, костюм инопланетного разума, надев несколько коробок и обернув в фольгу",22,13,3,3,2,10,36,31,33,39,18
96,"картонная коробка","Если коробка плотная, можно сделать игрушечную машинку при помощи ещё двух банок",22,13,2,3,2,10,36,31,33,39,18
97,"картонная коробка","Если вырезать дырку размером с планшет/телефон, сделав дырки для колонок и шеи, можно сделать кинотеатр",22,13,4,3,4,10,36,31,33,39,18
98,"картонная коробка","Виртуальная реальность",22,13,1,1,4,10,36,31,33,39,18
99,"картонная коробка","Их можно использовать как ящики для хранения",22,13,1,1,1,15,40,34,25,38,31
100,"картонная коробка","Обклеив их подарочной бумагой, разными украшениями, сделав крышки, получатся красивые коробки для разных подарков",22,13,3,3,1,15,40,34,25,38,31
101,"картонная коробка","Из них можно сделать органайзер",22,13,3,2,2,15,40,34,25,38,31
102,"картонная коробка","Из коробок часто можно сделать какие-то детали для костюма на Хэллоуин",22,13,3,2,1,15,40,34,25,38,31
103,"картонная коробка","Из них можно сделать макеты города, а также каких-то отдельных детализированных зданий",22,13,3,2,2,15,40,34,25,38,31
104,"картонная коробка","Макеты ракет, космических спутников и станций",22,13,3,3,2,15,40,34,25,38,31
105,"картонная коробка","Можно сделать переносные столы для пикника",22,13,3,4,2,15,40,34,25,38,31
106,"картонная коробка","Дневники для записей",22,13,3,2,2,15,40,34,25,38,31
107,"картонная коробка","Игрушки",22,13,2,2,2,15,40,34,25,38,31
108,"картонная коробка","Создание игрушечной мебели для детей",22,13,2,2,2,12,26,41,30,36,29
109,"картонная коробка","Отдать их бездомным",22,13,3,2,1,12,26,41,30,36,29
110,"картонная коробка","Создать для них прототип самолёта/машины",22,13,2,2,2,12,26,41,30,36,29
111,"картонная коробка","Построить крепость/домик",22,13,1,1,1,12,26,41,30,36,29
112,"картонная коробка","Переработать и издать книгу: ""Как использовать пустые картонные коробки""",22,13,5,3,2,12,26,41,30,36,29
113,"картонная коробка","Создать из них картинную галерею (нарисовать на них что-нибудь)",22,13,3,2,2,12,26,41,30,36,29
114,"картонная коробка","Использовать как удобрение для растений",22,13,4,3,2,12,26,41,30,36,29
115,"картонная коробка","Построить лестницу и прыгать с неё вниз",22,13,2,2,1,8,32,42,31,29,21
116,"картонная коробка","Вырезать из них маскарадные маски",22,13,2,3,2,8,32,42,31,29,21
117,"картонная коробка","Сделать из них мусорку или коллекционировать там что-нибудь",22,13,3,2,2,8,32,42,31,29,21
118,"картонная коробка","Кидаться ими в прохожих на улице",22,13,3,5,1,8,32,42,31,29,21
119,"картонная коробка","Смастерить из них мебель, ведь это экономнее и экологичнее",22,13,2,2,2,8,32,42,31,29,21
120,"картонная коробка","Собрать коллекцию из них",22,13,3,3,1,8,32,42,31,29,21
121,"картонная коробка","Упаковать туда младшего брата",22,13,3,4,3,8,32,42,31,29,21
122,"картонная коробка","Спать там или жить",22,13,2,2,2,8,32,42,31,29,21
123,"картонная коробка","Различные поделки",22,13,2,1,2,11,34,35,29,31,27
124,"картонная коробка","Предметы декора",22,13,2,1,2,11,34,35,29,31,27
125,"картонная коробка","Декорации в спектакле",22,13,2,3,2,11,34,35,29,31,27
126,"картонная коробка","Способ общения (связать между собой и говорить)",22,13,2,5,2,11,34,35,29,31,27
127,"картонная коробка","Огромную коробку можно использовать как домик и играть",22,13,1,1,1,11,34,35,29,31,27
128,"картонная коробка","Дом для животных",22,13,1,1,1,11,34,35,29,31,27
129,"картонная коробка","Место для сбора вещей, т.е. складировать туда что-то, а потом в шкаф",22,13,1,1,1,11,34,35,29,31,27
130,"картонная коробка","Из цветных коробок можно вырезать красивые стороны и украшать дом",22,13,2,1,2,11,34,35,29,31,27
131,"картонная коробка","Различные вырезки (как из журналов)",22,13,3,2,1,11,34,35,29,31,27
132,"картонная коробка","Подставка, опора, что-то твёрдое",22,13,2,2,2,11,34,35,29,31,27
133,"картонная коробка","Стул",22,13,2,2,2,11,34,35,29,31,27
134,"картонная коробка","Из пустых коробок можно построить дом и жить там, скрываясь от внешнего мира",22,13,2,1,1,10,26,22,16,36,33
135,"картонная коробка","Пустыми коробками можно накрывать мокрые скамейки в парке, а также братьев наших меньших, которых нельзя взять к себе домой",22,13,3,2,3,10,26,22,16,36,33
136,"картонная коробка","Можно накрывать коробкой одного их членов семьи и примотать её скотчем к кровати для того, чтобы с утра послушать их прекрасные голоса вместо будильника",22,13,4,5,2,10,26,22,16,36,33
137,"картонная коробка","Дом для кота",22,13,1,1,1,9,27,39,35,28,23
138,"картонная коробка","Ящики",22,13,1,1,1,9,27,39,35,28,23
139,"картонная коробка","Доспехи рыцаря",22,13,2,3,3,9,27,39,35,28,23
140,"картонная коробка","Отделка потолка и стен",22,13,2,2,2,9,27,39,35,28,23
141,"картонная коробка","Тетрадь",22,13,3,2,2,9,27,39,35,28,23
142,"картонная коробка","Чехол для телефона",22,13,4,3,3,9,27,39,35,28,23
143,"картонная коробка","Использовать коробку для жилища своего питомца (собаки, кота,…)",22,13,1,1,1,7,31,40,26,27,34
144,"картонная коробка","Использовать картонные коробки просто по назначению (хранение вещей)",22,13,1,1,1,7,31,40,26,27,34
145,"картонная коробка","Придумать из них какую-нибудь игрушку для детей, например, разделить коробку на несколько частей и, задекорировав, сделать ребёнку погремушку",22,13,2,2,2,7,31,40,26,27,34
146,"картонная коробка","Сделать из коробки настенные часы (купив и поставив туда механизм)",22,13,3,3,3,7,31,40,26,27,34
147,"картонная коробка","Сделать из коробки бутылку для воды",22,13,3,2,2,7,31,40,26,27,34
148,"картонная коробка","Использовать коробки как ящики с едой и другими продовольственными товарами",22,13,2,1,1,7,31,40,26,27,34
