"ID","prompt","response","set"
1,NA,NA,"dutch4"
2,"steen","afscheiding in boekenkast","dutch4"
2,"steen","afscheiding in boekenkast","dutch4"
2,"steen","voetstuk","dutch4"
2,"steen","voetstuk","dutch4"
3,"steen","een obstakel voor knikkerbaan of iets anders","dutch4"
3,"steen","een obstakel voor knikkerbaan of iets anders","dutch4"
3,"steen","gewicht om mee te trainen","dutch4"
3,"steen","gewicht om mee te trainen","dutch4"
3,"steen","houder om iets rechtop te laten staan","dutch4"
3,"steen","houder om iets rechtop te laten staan","dutch4"
3,"steen","kegel","dutch4"
3,"steen","kegel","dutch4"
3,"steen","krijt","dutch4"
3,"steen","krijt","dutch4"
3,"steen","netje voor tafeltennis","dutch4"
3,"steen","netje voor tafeltennis","dutch4"
3,"steen","onderzetter","dutch4"
3,"steen","onderzetter","dutch4"
3,"steen","tafeltje","dutch4"
3,"steen","tafeltje","dutch4"
3,"steen","zitje","dutch4"
3,"steen","zitje","dutch4"
4,"steen","Geluid maken","dutch4"
4,"steen","Geluid maken","dutch4"
4,"steen","Gooien","dutch4"
4,"steen","Gooien","dutch4"
4,"steen","Gooien","dutch4"
4,"steen","Gooien","dutch4"
4,"steen","Iets aandrukken","dutch4"
4,"steen","Iets aandrukken","dutch4"
4,"steen","Iets aandrukken","dutch4"
4,"steen","Iets aandrukken","dutch4"
4,"steen","Iets bouwen","dutch4"
4,"steen","Iets bouwen","dutch4"
4,"steen","Iets bouwen","dutch4"
4,"steen","Iets bouwen","dutch4"
4,"steen","Iets kapot slaan","dutch4"
4,"steen","Iets kapot slaan","dutch4"
4,"steen","Iets kapot slaan","dutch4"
4,"steen","Iets kapot slaan","dutch4"
4,"steen","Iets uitbeelden","dutch4"
4,"steen","Iets uitbeelden","dutch4"
4,"steen","Iets uitbeelden","dutch4"
4,"steen","Iets uitbeelden","dutch4"
4,"steen","Iets vastzetten","dutch4"
4,"steen","Iets vastzetten","dutch4"
4,"steen","Stapelen","dutch4"
4,"steen","Stapelen","dutch4"
5,NA,NA,"dutch4"
6,NA,NA,"dutch4"
7,"steen","Bal","dutch4"
7,"steen","Bal","dutch4"
7,"steen","Beeldhouwen","dutch4"
7,"steen","Beeldhouwen","dutch4"
7,"steen","Beeldhouwen","dutch4"
7,"steen","Beeldhouwen","dutch4"
7,"steen","Beschilderen","dutch4"
7,"steen","Beschilderen","dutch4"
7,"steen","Bord","dutch4"
7,"steen","Bord","dutch4"
7,"steen","Bouwen","dutch4"
7,"steen","Bouwen","dutch4"
7,"steen","Bouwsteen","dutch4"
7,"steen","Bouwsteen","dutch4"
7,"steen","Deksel","dutch4"
7,"steen","Deksel","dutch4"
7,"steen","Geluid door krassen/op elkaar tikken","dutch4"
7,"steen","Geluid door krassen/op elkaar tikken","dutch4"
7,"steen","Kandelaar","dutch4"
7,"steen","Kandelaar","dutch4"
7,"steen","Kandelaar","dutch4"
7,"steen","Kandelaar","dutch4"
7,"steen","Kleurblad","dutch4"
7,"steen","Kleurblad","dutch4"
7,"steen","Onderstuk/pilaar","dutch4"
7,"steen","Onderstuk/pilaar","dutch4"
7,"steen","Opstapje","dutch4"
7,"steen","Opstapje","dutch4"
7,"steen","Opstapje","dutch4"
7,"steen","Opstapje","dutch4"
7,"steen","Pilaar","dutch4"
7,"steen","Pilaar","dutch4"
7,"steen","Standaard","dutch4"
7,"steen","Standaard","dutch4"
7,"steen","Verhoging","dutch4"
7,"steen","Verhoging","dutch4"
7,"steen","Verhoging","dutch4"
7,"steen","Verhoging","dutch4"
7,"steen","Waxinelicjthouder","dutch4"
7,"steen","Waxinelicjthouder","dutch4"
8,"steen","Herdenking","dutch4"
8,"steen","Herdenking","dutch4"
8,"steen","Huis","dutch4"
8,"steen","Huis","dutch4"
8,"steen","Muurtje","dutch4"
8,"steen","Muurtje","dutch4"
8,"steen","Pizza oven","dutch4"
8,"steen","Pizza oven","dutch4"
8,"steen","Vuurplaats","dutch4"
8,"steen","Vuurplaats","dutch4"
9,NA,NA,"dutch4"
10,"steen","als boekenstandaard","dutch4"
10,"steen","als boekenstandaard","dutch4"
10,"steen","als boekensteun","dutch4"
10,"steen","als boekensteun","dutch4"
10,"steen","als doel gebruiken","dutch4"
10,"steen","als doel gebruiken","dutch4"
10,"steen","als kerstboomhouder","dutch4"
10,"steen","als kerstboomhouder","dutch4"
10,"steen","als kunstwerk","dutch4"
10,"steen","als kunstwerk","dutch4"
10,"steen","als opstapje","dutch4"
10,"steen","als opstapje","dutch4"
10,"steen","als standaard","dutch4"
10,"steen","als standaard","dutch4"
10,"steen","bouwen","dutch4"
10,"steen","bouwen","dutch4"
10,"steen","deurstop","dutch4"
10,"steen","deurstop","dutch4"
10,"steen","kast mee bouwen","dutch4"
10,"steen","kast mee bouwen","dutch4"
10,"steen","mee overgooien","dutch4"
10,"steen","mee overgooien","dutch4"
10,"steen","op liggen","dutch4"
10,"steen","op liggen","dutch4"
10,"steen","op staan","dutch4"
10,"steen","op staan","dutch4"
10,"steen","op zitten","dutch4"
10,"steen","op zitten","dutch4"
10,"steen","op zitten","dutch4"
10,"steen","op zitten","dutch4"
10,"steen","opstapje","dutch4"
10,"steen","opstapje","dutch4"
10,"steen","over gooien","dutch4"
10,"steen","over gooien","dutch4"
10,"steen","raam intikken","dutch4"
10,"steen","raam intikken","dutch4"
10,"steen","schoenenrek","dutch4"
10,"steen","schoenenrek","dutch4"
10,"steen","spelen","dutch4"
10,"steen","spelen","dutch4"
10,"steen","straat mee betegelen","dutch4"
10,"steen","straat mee betegelen","dutch4"
11,"steen","Bloempot van maken","dutch4"
11,"steen","Bloempot van maken","dutch4"
11,"steen","Boe","dutch4"
11,"steen","Boe","dutch4"
11,"steen","Boekenhouder","dutch4"
11,"steen","Boekenhouder","dutch4"
11,"steen","Deurstopper","dutch4"
11,"steen","Deurstopper","dutch4"
11,"steen","Gebruiken bij band verwisselen","dutch4"
11,"steen","Gebruiken bij band verwisselen","dutch4"
11,"steen","Iets mee verzwaren","dutch4"
11,"steen","Iets mee verzwaren","dutch4"
11,"steen","Iets plat mee drukken","dutch4"
11,"steen","Iets plat mee drukken","dutch4"
11,"steen","Kast bouwen","dutch4"
11,"steen","Kast bouwen","dutch4"
11,"steen","Kast mee maken","dutch4"
11,"steen","Kast mee maken","dutch4"
11,"steen","Muur bouwen","dutch4"
11,"steen","Muur bouwen","dutch4"
11,"steen","Muur bouwen","dutch4"
11,"steen","Muur bouwen","dutch4"
11,"steen","Ondersteuning band vervangen","dutch4"
11,"steen","Ondersteuning band vervangen","dutch4"
11,"steen","Ondersteuning van tafels","dutch4"
11,"steen","Ondersteuning van tafels","dutch4"
11,"steen","Opstapelen tot stoel","dutch4"
11,"steen","Opstapelen tot stoel","dutch4"
11,"steen","Verhoging van bed of kast","dutch4"
11,"steen","Verhoging van bed of kast","dutch4"
12,"steen","Boog","dutch4"
12,"steen","Boog","dutch4"
12,"steen","Brug","dutch4"
12,"steen","Brug","dutch4"
12,"steen","Dam","dutch4"
12,"steen","Dam","dutch4"
12,"steen","Fietspad","dutch4"
12,"steen","Fietspad","dutch4"
12,"steen","Huis","dutch4"
12,"steen","Huis","dutch4"
12,"steen","Kasteel","dutch4"
12,"steen","Kasteel","dutch4"
12,"steen","Muur","dutch4"
12,"steen","Muur","dutch4"
12,"steen","Podium","dutch4"
12,"steen","Podium","dutch4"
12,"steen","Put","dutch4"
12,"steen","Put","dutch4"
12,"steen","Regenboog","dutch4"
12,"steen","Regenboog","dutch4"
12,"steen","Speelkuil","dutch4"
12,"steen","Speelkuil","dutch4"
12,"steen","Uitkijktoren","dutch4"
12,"steen","Uitkijktoren","dutch4"
12,"steen","Vila","dutch4"
12,"steen","Vila","dutch4"
12,"steen","Voetbalkuil","dutch4"
12,"steen","Voetbalkuil","dutch4"
12,"steen","Weg","dutch4"
12,"steen","Weg","dutch4"
12,"steen","Zandbak","dutch4"
12,"steen","Zandbak","dutch4"
13,NA,NA,"dutch4"
14,"steen","als speelgoed gebruiken","dutch4"
14,"steen","als speelgoed gebruiken","dutch4"
14,"steen","beeld maken","dutch4"
14,"steen","beeld maken","dutch4"
14,"steen","beeld maken","dutch4"
14,"steen","beeld maken","dutch4"
14,"steen","gebruiksvoorwerpen maken","dutch4"
14,"steen","gebruiksvoorwerpen maken","dutch4"
14,"steen","gebruiksvoorwerpen maken","dutch4"
14,"steen","gebruiksvoorwerpen maken","dutch4"
14,"steen","huis bouwen","dutch4"
14,"steen","huis bouwen","dutch4"
14,"steen","huis bouwen","dutch4"
14,"steen","huis bouwen","dutch4"
14,"steen","muurtje bouwen","dutch4"
14,"steen","muurtje bouwen","dutch4"
14,"steen","muurtje bouwen","dutch4"
14,"steen","muurtje bouwen","dutch4"
14,"steen","stapelen","dutch4"
14,"steen","stapelen","dutch4"
14,"steen","weg aanleggen","dutch4"
14,"steen","weg aanleggen","dutch4"
15,"steen","gewichtheffen","dutch4"
15,"steen","gewichtheffen","dutch4"
15,"steen","gooien","dutch4"
15,"steen","gooien","dutch4"
15,"steen","kunst object","dutch4"
15,"steen","kunst object","dutch4"
15,"steen","lampen voet","dutch4"
15,"steen","lampen voet","dutch4"
15,"steen","op klimmen","dutch4"
15,"steen","op klimmen","dutch4"
15,"steen","tuinmeubel","dutch4"
15,"steen","tuinmeubel","dutch4"
15,"steen","versteviging om plastic te bevestigen","dutch4"
15,"steen","versteviging om plastic te bevestigen","dutch4"
16,"steen","keukenbar","dutch4"
16,"steen","keukenbar","dutch4"
16,"steen","muurtje bouwen","dutch4"
16,"steen","muurtje bouwen","dutch4"
16,"steen","versteviging voor mijn palletbed","dutch4"
16,"steen","versteviging voor mijn palletbed","dutch4"
16,"steen","zandbak omlijning","dutch4"
16,"steen","zandbak omlijning","dutch4"
17,NA,NA,"dutch4"
18,"steen","Akker","dutch4"
18,"steen","Akker","dutch4"
18,"steen","Akkers","dutch4"
18,"steen","Akkers","dutch4"
18,"steen","Bouwvakker","dutch4"
18,"steen","Bouwvakker","dutch4"
18,"steen","Bouwvakker","dutch4"
18,"steen","Bouwvakker","dutch4"
18,"steen","Breken","dutch4"
18,"steen","Breken","dutch4"
18,"steen","Constructie","dutch4"
18,"steen","Constructie","dutch4"
18,"steen","Deur","dutch4"
18,"steen","Deur","dutch4"
18,"steen","Gooien","dutch4"
18,"steen","Gooien","dutch4"
18,"steen","Gooien","dutch4"
18,"steen","Gooien","dutch4"
18,"steen","Gooien","dutch4"
18,"steen","Gooien","dutch4"
18,"steen","Grappen","dutch4"
18,"steen","Grappen","dutch4"
18,"steen","Grappig","dutch4"
18,"steen","Grappig","dutch4"
18,"steen","Hard","dutch4"
18,"steen","Hard","dutch4"
18,"steen","Helm","dutch4"
18,"steen","Helm","dutch4"
18,"steen","Helm","dutch4"
18,"steen","Helm","dutch4"
18,"steen","Herschenschudding","dutch4"
18,"steen","Herschenschudding","dutch4"
18,"steen","Hersenletsel","dutch4"
18,"steen","Hersenletsel","dutch4"
18,"steen","Hersenletsel","dutch4"
18,"steen","Hersenletsel","dutch4"
18,"steen","Hersenschudding","dutch4"
18,"steen","Hersenschudding","dutch4"
18,"steen","Hoofd","dutch4"
18,"steen","Hoofd","dutch4"
18,"steen","Hoofdpijn","dutch4"
18,"steen","Hoofdpijn","dutch4"
18,"steen","Huilen","dutch4"
18,"steen","Huilen","dutch4"
18,"steen","Kloppen","dutch4"
18,"steen","Kloppen","dutch4"
18,"steen","Krijt","dutch4"
18,"steen","Krijt","dutch4"
18,"steen","Mensen","dutch4"
18,"steen","Mensen","dutch4"
18,"steen","Meten","dutch4"
18,"steen","Meten","dutch4"
18,"steen","Metsel","dutch4"
18,"steen","Metsel","dutch4"
18,"steen","Metsel","dutch4"
18,"steen","Metsel","dutch4"
18,"steen","Moe","dutch4"
18,"steen","Moe","dutch4"
18,"steen","Neuronen","dutch4"
18,"steen","Neuronen","dutch4"
18,"steen","Nieuwboos","dutch4"
18,"steen","Nieuwboos","dutch4"
18,"steen","Pijn","dutch4"
18,"steen","Pijn","dutch4"
18,"steen","Schaafwond","dutch4"
18,"steen","Schaafwond","dutch4"
18,"steen","Sloten","dutch4"
18,"steen","Sloten","dutch4"
18,"steen","Snel","dutch4"
18,"steen","Snel","dutch4"
18,"steen","Steen","dutch4"
18,"steen","Steen","dutch4"
18,"steen","Steen","dutch4"
18,"steen","Steen","dutch4"
18,"steen","Stevig","dutch4"
18,"steen","Stevig","dutch4"
18,"steen","Vallen","dutch4"
18,"steen","Vallen","dutch4"
18,"steen","Veiligheid","dutch4"
18,"steen","Veiligheid","dutch4"
18,"steen","Vierkant","dutch4"
18,"steen","Vierkant","dutch4"
18,"steen","Vies","dutch4"
18,"steen","Vies","dutch4"
18,"steen","Vrienden","dutch4"
18,"steen","Vrienden","dutch4"
18,"steen","Wond","dutch4"
