"ID","prompt","response","set"
1637,"סכין","מזלג","hebrew1"
1637,"סכין","פותחן בקבוקים","hebrew1"
1637,"סכין","פותחן קופסאות","hebrew1"
1637,"סכין","אביזר לשיער","hebrew1"
1637,"סכין","מתלה לטבעות","hebrew1"
1839,"סכין","מריחת ממרח","hebrew1"
1839,"סכין","גירוד בגוף","hebrew1"
1839,"סכין","חיתוך קרטון","hebrew1"
1839,"סכין","כלי תיפוף","hebrew1"
1292,"סכין","פותחן בקבוקים","hebrew1"
1292,"סכין","משטח ציור","hebrew1"
1815,"סכין","מברג","hebrew1"
1815,"סכין","יתד","hebrew1"
1815,"סכין","מראה","hebrew1"
1815,"סכין","מברשת שיניים","hebrew1"
1106,"סכין","להשתמש בו כמשקולת","hebrew1"
1106,"סכין","כלי חריטה באבן","hebrew1"
1106,"סכין","חרב","hebrew1"
1610,"סכין","פריט עיצובי","hebrew1"
1610,"סכין","מתלה לטבעות","hebrew1"
1610,"סכין","טיפוס בעזרת סכינים","hebrew1"
1647,"סכין","לגלף צורות בפירות","hebrew1"
1647,"סכין","לגלף עץ","hebrew1"
1647,"סכין","לעשות קעקוע","hebrew1"
1647,"סכין","לפחלץ","hebrew1"
765,"סכין","פריט עיצובי","hebrew1"
1889,"סכין","שיוף של חומרים מחוספסים","hebrew1"
1889,"סכין","כיסא עינויים","hebrew1"
1889,"סכין","מראה","hebrew1"
1889,"סכין","ניסור טלפונים","hebrew1"
1889,"סכין","קיסם שיניים","hebrew1"
1892,"סכין","כלי חריטה באבן","hebrew1"
1892,"סכין","פריט עיצובי","hebrew1"
1892,"סכין","שבירת גושי אדמה","hebrew1"
1892,"סכין","שיוף של חומרים מחוספסים","hebrew1"
1892,"סכין","לוליאנות","hebrew1"
717,"סכין","כלי חריטה באבן","hebrew1"
717,"סכין","מתלה לבגדים על הקיר או ארון","hebrew1"
717,"סכין","כלי ג'אגלינג","hebrew1"
1631,"סכין","לחתוך איתו","hebrew1"
1631,"סכין","לדקור איתו","hebrew1"
1631,"סכין","קליעה למטרה (לזרוק סכינים במקום חיצים)","hebrew1"
1631,"סכין","כלי חריטה באבן","hebrew1"
1631,"סכין","פריט עיצובי","hebrew1"
1631,"סכין","מברג","hebrew1"
1631,"סכין","לפצח אגוזים","hebrew1"
1631,"סכין","לשמש כמעמד לתכשיטים","hebrew1"
1904,"סכין","מחורר דפים","hebrew1"
1904,"סכין","לנעוץ בקיר ולהשתמש כמתלה מעילים","hebrew1"
1904,"סכין","פורץ מנעולים","hebrew1"
1902,"סכין","לנקות מקומות צרים","hebrew1"
1902,"סכין","מתלה לבגדים על הקיר או ארון","hebrew1"
1902,"סכין","חוצץ","hebrew1"
1902,"סכין","סימניה בספר","hebrew1"
1903,"סכין","כלי חריטה באבן","hebrew1"
1903,"סכין","שימוש בסכין במקום בבקבוק באמת או חובה","hebrew1"
1903,"סכין","מברג","hebrew1"
1903,"סכין","יצירת לוח משחק של איקס עיגול באמצעות הרבה סכינים","hebrew1"
1905,"סכין","מברג","hebrew1"
1905,"סכין","קילוף מדבקה מהקיר","hebrew1"
1905,"סכין","גירוד מסטיק מהרצפה","hebrew1"
1905,"סכין","פתיחת קופסת שימורים","hebrew1"
1905,"סכין","פורץ מנעולים","hebrew1"
1906,"סכין","לפתוח מכתבים","hebrew1"
1906,"סכין","לנקות מקומות צרים","hebrew1"
1906,"סכין","גירוד מסטיק מהרצפה","hebrew1"
1598,"סכין","לנקות מקומות צרים","hebrew1"
1816,"סכין","מברג","hebrew1"
1816,"סכין","מזלג","hebrew1"
1824,"סכין","מברג","hebrew1"
1824,"סכין","כלי חריטה באבן","hebrew1"
1824,"סכין","לנקות מתחת לציפורניים","hebrew1"
1824,"סכין","מסור","hebrew1"
1824,"סכין","לחתוך איתו","hebrew1"
1824,"סכין","לתלות רשימה על הדלת","hebrew1"
1901,"סכין","כלי נשק","hebrew1"
1901,"סכין","חיבור וניתוק מעגלים חשמליים","hebrew1"
1901,"סכין","פורץ מנעולים","hebrew1"
1901,"סכין","פיסול","hebrew1"
1901,"סכין","כלי תספורת","hebrew1"
1901,"סכין","אזמל","hebrew1"
1901,"סכין","כלי גילוח","hebrew1"
250,"סכין","לחתוך איתו","hebrew1"
250,"סכין","מברג","hebrew1"
250,"סכין","פתיחת קופסת שימורים","hebrew1"
250,"סכין","פותחן בקבוקים","hebrew1"
250,"סכין","לקלף","hebrew1"
1686,"סכין","לחתוך איתו","hebrew1"
1686,"סכין","כלי נשק","hebrew1"
1686,"סכין","משחק","hebrew1"
1798,"סכין","מברג","hebrew1"
1798,"סכין","מספריים","hebrew1"
1895,"סכין","קיסם שיניים","hebrew1"
1895,"סכין","קליעה למטרה (לזרוק סכינים במקום חיצים)","hebrew1"
1895,"סכין","לטבול בדיו ולצייר","hebrew1"
1895,"סכין","ליצור קוד מורס","hebrew1"
1514,"סכין","לחתוך איתו","hebrew1"
1514,"סכין","חוצץ","hebrew1"
1514,"סכין","פותחן קופסאות","hebrew1"
1514,"סכין","לטבול בדיו ולצייר","hebrew1"
1812,"סכין","ניקוי מסילות של חלונות","hebrew1"
1812,"סכין","לנעוץ בקיר ולהשתמש כמתלה מעילים","hebrew1"
1781,"סכין","משחק","hebrew1"
1781,"סכין","קליעה למטרה (לזרוק סכינים במקום חיצים)","hebrew1"
1781,"סכין","לתת כמתנה","hebrew1"
1781,"סכין","לחתוך את המתח באוויר","hebrew1"
1883,"סכין","לנקות מקומות צרים","hebrew1"
1526,"סכין","ידית","hebrew1"
825,"סכין","פסל מרשים במסעדה (שני סכינים מוצלבים על הקיר)","hebrew1"
825,"סכין","קליעה למטרה (לזרוק סכינים במקום חיצים)","hebrew1"
1836,"סכין","מברג","hebrew1"
1836,"סכין","להשתמש בו כמשקולת","hebrew1"
1836,"סכין","להשתמש בו כמוליך חום","hebrew1"
392,"סכין","קיסם שיניים","hebrew1"
392,"סכין","עט","hebrew1"
392,"סכין","פטיש","hebrew1"
1652,"סכין","כלי חריטה באבן","hebrew1"
1652,"סכין","לגלף עץ","hebrew1"
1652,"סכין","כלי נשק","hebrew1"
1652,"סכין","פתיחת קופסת שימורים","hebrew1"
1652,"סכין","קליעה למטרה (לזרוק סכינים במקום חיצים)","hebrew1"
1813,"סכין","פותחן קופסאות","hebrew1"
1813,"סכין","שרטוט על גבי משטח","hebrew1"
1596,"סכין","קליעה למטרה (לזרוק סכינים במקום חיצים)","hebrew1"
1596,"סכין","שימוש בסכין במקום בבקבוק באמת או חובה","hebrew1"
1596,"סכין","מקל לשים עליו שלטים בערוגת צמחים","hebrew1"
1596,"סכין","לפצח איתו גרעינים על השולחן","hebrew1"
1596,"סכין","שפכטל","hebrew1"
412,"סכין","מקל לערבוב אוכל","hebrew1"
412,"סכין","לפתוח מכתבים","hebrew1"
412,"סכין","אביזר לשיער","hebrew1"
412,"סכין","אצבע שישית","hebrew1"
412,"סכין","פותחן קופסאות","hebrew1"
412,"סכין","כפית","hebrew1"
412,"סכין","מקל למריחת איפור על העיניים","hebrew1"
412,"סכין","מברשת שיניים","hebrew1"
1673,"סכין","לחתוך איתו","hebrew1"
1673,"סכין","לקלף","hebrew1"
1673,"סכין","כלי נשק","hebrew1"
1673,"סכין","פותחן קופסאות","hebrew1"
1673,"סכין","קליעה למטרה (לזרוק סכינים במקום חיצים)","hebrew1"
1673,"סכין","להראות קסמים","hebrew1"
1316,"סכין","אביזר לשיער","hebrew1"
1316,"סכין","כלי חריטה באבן","hebrew1"
1316,"סכין","הקלדה במחשב","hebrew1"
1513,"סכין","כלי לציידים מהעבר","hebrew1"
1513,"סכין","כלי נשק","hebrew1"
1513,"סכין","לחתוך איתו","hebrew1"
1513,"סכין","אביזר להפגין שליטה וכוח","hebrew1"
1513,"סכין","פותחן קופסאות","hebrew1"
1891,"סכין","לחתוך שיער","hebrew1"
1891,"סכין","יתד","hebrew1"
1891,"סכין","מראה","hebrew1"
1891,"סכין","קיסם שיניים","hebrew1"
1891,"סכין","אביזר לשיער","hebrew1"
1679,"סכין","מתלה לטבעות","hebrew1"
1679,"סכין","שפכטל","hebrew1"
1679,"סכין","מברג","hebrew1"
1672,"סכין","לחתוך איתו","hebrew1"
1672,"סכין","לנקות מקומות צרים","hebrew1"
1513,"סכין","כלי נשק","hebrew1"
1513,"סכין","לחתוך איתו","hebrew1"
1513,"סכין","כלי גילוח","hebrew1"
1632,"סכין","לחתוך איתו","hebrew1"
1802,"סכין","כלי ג'אגלינג","hebrew1"
1802,"סכין","קליעה למטרה (לזרוק סכינים במקום חיצים)","hebrew1"
1802,"סכין","לנקות מתחת לציפורניים","hebrew1"
1896,"סכין","קליעה למטרה (לזרוק סכינים במקום חיצים)","hebrew1"
1896,"סכין","לחתוך איתו","hebrew1"
1896,"סכין","מברג","hebrew1"
1649,"סכין","מתלה לבגדים על הקיר או ארון","hebrew1"
1649,"סכין","מסגרת לתמונה","hebrew1"
1649,"סכין","תחתית קפה","hebrew1"
1793,"סכין","מברג","hebrew1"
405,"סכין","מברג","hebrew1"
405,"סכין","קיסם שיניים","hebrew1"
405,"סכין","הגבהה לרהיט מתנדנד","hebrew1"
405,"סכין","לטבול בדיו ולצייר","hebrew1"
405,"סכין","אבזם לחגורה","hebrew1"
405,"סכין","אביזר לשיער","hebrew1"
405,"סכין","סימניה בספר","hebrew1"
405,"סכין","פותחן בקבוקים","hebrew1"
1640,"סכין","לחתוך איתו","hebrew1"
1640,"סכין","לנקות מקומות צרים","hebrew1"
1637,"נעל","קופת חסכון","hebrew1"
1637,"נעל","מחבוא לכסף","hebrew1"
1637,"נעל","מחבוא","hebrew1"
1637,"נעל","מגביה לכסא","hebrew1"
1637,"נעל","פריט עיצוב לבית","hebrew1"
1839,"נעל","מעצור לדלת","hebrew1"
1839,"נעל","עציץ","hebrew1"
1839,"נעל","צעצוע לכלב","hebrew1"
1839,"נעל","משחק לילד","hebrew1"
1839,"נעל","מכשיר לגירוד בגב","hebrew1"
