"ID","prompt","response","rater1","rater2","rater3","rater4","set","itemID","item_english","openness","CAQ"
101,"易拉罐","做装饰物",1,4,2,1,3,NA,"can",40,4
101,"易拉罐","养花",2,2,2,2,3,NA,"can",40,4
101,"易拉罐","压扁垫桌脚",2,3,3,3,3,NA,"can",40,4
101,"筷子","做头簪",2,2,1,2,3,NA,"chopsticks",40,4
101,"筷子","插在土里固定农作物",2,4,2,2,3,NA,"chopsticks",40,4
101,"筷子","绑起来做糕点印花",3,3,5,5,3,NA,"chopsticks",40,4
102,"易拉罐","作清洁球洗碗",4,3,3,3,3,NA,"can",34,1
102,"易拉罐","做饭的容器",1,1,1,1,3,NA,"can",34,1
102,"易拉罐","灯笼",4,3,2,2,3,NA,"can",34,1
102,"筷子","当成发簪",2,2,1,3,3,NA,"chopsticks",34,1
102,"筷子","搅拌",1,1,1,1,3,NA,"chopsticks",34,1
102,"筷子","积木",3,4,2,3,3,NA,"chopsticks",34,1
103,"易拉罐","打人工具",2,4,2,4,3,NA,"can",24,0
103,"易拉罐","枕头",3,4,1,3,3,NA,"can",24,0
103,"易拉罐","笔筒",1,1,1,1,3,NA,"can",24,0
103,"筷子","发簪",2,2,1,3,3,NA,"chopsticks",24,0
103,"筷子","搅拌棒",1,3,1,1,3,NA,"chopsticks",24,0
103,"筷子","直尺",2,2,2,2,3,NA,"chopsticks",24,0
104,"易拉罐","垃圾桶",3,1,1,3,3,NA,"can",35,0
104,"易拉罐","笔盒",1,1,1,1,3,NA,"can",35,0
104,"易拉罐","管子",3,2,2,3,3,NA,"can",35,0
104,"筷子","吃饭",1,1,1,1,3,NA,"chopsticks",35,0
104,"筷子","打假",2,1,2,3,3,NA,"chopsticks",35,0
104,"筷子","武器",2,2,1,3,3,NA,"chopsticks",35,0
105,"易拉罐","凳子",3,3,3,3,3,NA,"can",43,6
105,"易拉罐","暗器",2,4,3,5,3,NA,"can",43,6
105,"易拉罐","水杯",2,1,1,2,3,NA,"can",43,6
105,"筷子","发簪",2,2,1,3,3,NA,"chopsticks",43,6
105,"筷子","武器",2,2,1,3,3,NA,"chopsticks",43,6
105,"筷子","笔",2,1,2,3,3,NA,"chopsticks",43,6
106,"易拉罐","排气管",3,3,3,4,3,NA,"can",39,1
106,"易拉罐","笔筒",1,1,1,1,3,NA,"can",39,1
106,"易拉罐","花盆",2,2,2,2,3,NA,"can",39,1
106,"筷子","柴火",2,2,2,1,3,NA,"chopsticks",39,1
106,"筷子","竹签",2,1,1,1,3,NA,"chopsticks",39,1
106,"筷子","衣架",3,2,2,3,3,NA,"chopsticks",39,1
107,"易拉罐","玩具",2,2,2,2,3,NA,"can",45,17
107,"易拉罐","笔筒",1,1,1,1,3,NA,"can",45,17
107,"易拉罐","装饰物",1,4,2,1,3,NA,"can",45,17
107,"筷子","发饰",3,2,1,2,3,NA,"chopsticks",45,17
107,"筷子","架子",3,2,1,2,3,NA,"chopsticks",45,17
107,"筷子","竹板",2,3,1,2,3,NA,"chopsticks",45,17
108,"易拉罐","存钱罐",2,1,1,2,3,NA,"can",39,2
108,"易拉罐","烧烤架",3,3,4,3,3,NA,"can",39,2
108,"易拉罐","花盆",2,2,2,2,3,NA,"can",39,2
108,"筷子","发簪",2,2,1,3,3,NA,"chopsticks",39,2
108,"筷子","炭笔",2,1,2,2,3,NA,"chopsticks",39,2
108,"筷子","门拴",2,1,2,3,3,NA,"chopsticks",39,2
109,"易拉罐","做笔筒",1,1,1,1,3,NA,"can",48,2
109,"易拉罐","切开掰直当刀片",3,3,4,5,3,NA,"can",48,2
109,"易拉罐","刻字",2,3,1,2,3,NA,"can",48,2
109,"筷子","发簪",2,2,1,3,3,NA,"chopsticks",48,2
109,"筷子","搭小房子",4,4,2,3,3,NA,"chopsticks",48,2
109,"筷子","火柴",3,2,2,1,3,NA,"chopsticks",48,2
110,"易拉罐","作合唱图创意品",3,4,1,2,3,NA,"can",33,7
110,"易拉罐","当作羽毛球",4,3,2,3,3,NA,"can",33,7
110,"易拉罐","拉环当作戒指",3,2,3,2,3,NA,"can",33,7
110,"筷子","当作发簪",2,2,1,3,3,NA,"chopsticks",33,7
110,"筷子","敲击乐器",3,3,3,3,3,NA,"chopsticks",33,7
110,"筷子","织毛衣",3,3,3,4,3,NA,"chopsticks",33,7
111,"易拉罐","花盆",2,2,2,2,3,NA,"can",51,8
111,"易拉罐","足球",4,2,2,3,3,NA,"can",51,8
111,"易拉罐","铃铛",3,3,3,2,3,NA,"can",51,8
111,"筷子","发簪",2,2,1,3,3,NA,"chopsticks",51,8
111,"筷子","笔",2,1,2,3,3,NA,"chopsticks",51,8
111,"筷子","算筹",3,1,3,2,3,NA,"chopsticks",51,8
112,"易拉罐","包",3,3,2,1,3,NA,"can",30,2
112,"易拉罐","漱口杯",2,1,1,2,3,NA,"can",30,2
112,"易拉罐","花瓶",2,2,1,3,3,NA,"can",30,2
112,"筷子","发簪",2,2,1,3,3,NA,"chopsticks",30,2
112,"筷子","支架",3,2,1,2,3,NA,"chopsticks",30,2
112,"筷子","画笔",2,4,2,3,3,NA,"chopsticks",30,2
113,"易拉罐","发电",5,5,1,5,3,NA,"can",35,6
113,"易拉罐","存钱罐",2,1,1,2,3,NA,"can",35,6
113,"易拉罐","摆成新鲜造型",3,2,1,1,3,NA,"can",35,6
113,"筷子","吃饭",1,1,1,1,3,NA,"chopsticks",35,6
113,"筷子","搅拌棒",1,3,1,1,3,NA,"chopsticks",35,6
113,"筷子","搭桥",3,4,2,3,3,NA,"chopsticks",35,6
114,"易拉罐","小刀",3,3,4,3,3,NA,"can",37,1
114,"易拉罐","笔筒",1,1,1,1,3,NA,"can",37,1
114,"易拉罐","车轮",2,4,3,3,3,NA,"can",37,1
114,"筷子","发簪",2,2,1,3,3,NA,"chopsticks",37,1
114,"筷子","生火",3,2,2,1,3,NA,"chopsticks",37,1
114,"筷子","船桨",4,4,2,3,3,NA,"chopsticks",37,1
115,"易拉罐","做手工（风车）",2,3,2,2,3,NA,"can",39,8
115,"易拉罐","导电做一些科学实验",5,5,3,5,3,NA,"can",39,8
115,"易拉罐","当做踢球的玩具",4,2,2,2,3,NA,"can",39,8
115,"筷子","串串或者一些其它的东西",3,2,1,1,3,NA,"chopsticks",39,8
115,"筷子","做指挥棒",3,3,2,3,3,NA,"chopsticks",39,8
115,"筷子","打击乐器（类似鼓锤那种）",3,3,3,3,3,NA,"chopsticks",39,8
116,"易拉罐","做减压装置",3,4,1,5,3,NA,"can",33,6
116,"易拉罐","做水杯",2,1,1,5,3,NA,"can",33,6
116,"易拉罐","做装饰品",1,3,2,5,3,NA,"can",33,6
