"ID","prompt","response","set"
1,"علب الصفيح","إعادة تدوير","arabic1"
1,"علب الصفيح","ديكور","arabic1"
1,"علب الصفيح","خلفية","arabic1"
1,"علب الصفيح","مجسمات","arabic1"
1,"علب الصفيح","لعب للأطفال","arabic1"
1,"علب الصفيح","وضع الشمع داخلها","arabic1"
1,"علب الصفيح","الزراعة","arabic1"
2,"علب الصفيح","إعادة تدوير","arabic1"
2,"علب الصفيح","إطارات السيارات","arabic1"
2,"علب الصفيح","الأقنعة المعدنية","arabic1"
2,"علب الصفيح","اللوحات الفنية","arabic1"
3,"علب الصفيح","حصالة أموال","arabic1"
3,"علب الصفيح","يضع بها أوراق وأشياء","arabic1"
3,"علب الصفيح","عائق","arabic1"
3,"علب الصفيح","الزراعة","arabic1"
3,"علب الصفيح","سلة قمامة","arabic1"
3,"علب الصفيح","علبة مناديل","arabic1"
3,"علب الصفيح","يضع بها الأحذية","arabic1"
4,"علب الصفيح","تخزين الطعام","arabic1"
4,"علب الصفيح","صنع لوحة تشكيلية","arabic1"
4,"علب الصفيح","أشكال هندسية","arabic1"
4,"علب الصفيح","علبة لحفظ الأقلام","arabic1"
4,"علب الصفيح","إكسسوارات","arabic1"
4,"علب الصفيح","الزينة","arabic1"
5,"علب الصفيح","مزهرية","arabic1"
5,"علب الصفيح","صندوق","arabic1"
5,"علب الصفيح","دلو لتخزين المياة","arabic1"
5,"علب الصفيح","حصالة","arabic1"
5,"علب الصفيح","مقلمة أقلام","arabic1"
6,"علب الصفيح","أشكال (دوائر ومربعات)","arabic1"
6,"علب الصفيح","تلوين العلب و زخرفتها","arabic1"
6,"علب الصفيح","الموسيقي","arabic1"
6,"علب الصفيح","إعادة تدوير","arabic1"
6,"علب الصفيح","تكوين ورد","arabic1"
6,"علب الصفيح","فازة","arabic1"
7,"علب الصفيح","إناء للزراعة","arabic1"
7,"علب الصفيح","مقلمة","arabic1"
7,"علب الصفيح","صورة بالعلب","arabic1"
7,"علب الصفيح","فازة","arabic1"
7,"علب الصفيح","عمل كرسي","arabic1"
7,"علب الصفيح","إعادة تدوير","arabic1"
7,"علب الصفيح","أشكال هندسية","arabic1"
7,"علب الصفيح","الزينة","arabic1"
7,"علب الصفيح","بيت للحيوانات الأليفة","arabic1"
7,"علب الصفيح","شنطة","arabic1"
8,"علب الصفيح","صنع أقلام","arabic1"
8,"علب الصفيح","زجاجة مياه","arabic1"
8,"علب الصفيح","أطباق للأكل وحلة","arabic1"
8,"علب الصفيح","أدوات كالمقلمة","arabic1"
8,"علب الصفيح","سلك مواعين","arabic1"
8,"علب الصفيح","أسلاك كهرباء","arabic1"
8,"علب الصفيح","حنفيات مياه","arabic1"
8,"علب الصفيح","أجهزة كهربائية","arabic1"
8,"علب الصفيح","تصليح حاجات","arabic1"
9,"علب الصفيح","إعادة تدوير","arabic1"
9,"علب الصفيح","اللعب","arabic1"
9,"علب الصفيح","نضع فيها أشياء","arabic1"
9,"علب الصفيح","حافظة أقلام","arabic1"
9,"علب الصفيح","الزراعة","arabic1"
10,"علب الصفيح","علبة علي شكل مرجيحة","arabic1"
10,"علب الصفيح","تخزين الفاكهة","arabic1"
10,"علب الصفيح","عمل كرسي","arabic1"
10,"علب الصفيح","حصالة","arabic1"
11,"علب الصفيح","إعادة تدوير","arabic1"
