"ID","prompt","response","set","lab","response_cleaned","rater1","rater2"
162,"brick","gebruiken",4,3,"",0,1
188,"brick","om en om",4,3,"",0,0
215,"brick","maken ",4,3,"",0,1
217,"brick","veel",4,3,"",0,0
412,"brick","maken",4,3,"",0,1
427,"brick","veel",4,3,"",0,0
594,"brick","maken",4,3,"",0,1
729,"brick","ja",4,3,"",0,0
783,"brick","iets",4,3,"",0,0
783,"brick","maar ",4,3,"",0,0
648,"brick","aambeeld",4,3,"aambeeld",2,4
363,"brick","het aanleggen van een weg",4,3,"aanleggen weg",1,1
237,"brick","aannemen",4,3,"aannemen",0,1
300,"brick","aannemer",4,3,"aannemer",0,0
783,"brick","aansteker",4,3,"aansteker",4,3
555,"brick","aarde",4,3,"aarde",0,0
207,"brick","als accesoire ",4,3,"accessoire",3,3
224,"brick","assecoire",4,3,"accessoire",3,3
248,"brick","accesoire",4,3,"accessoire",3,3
249,"brick","als accesoire",4,3,"accessoire",3,3
612,"brick","accesoire",4,3,"accessoire",3,3
717,"brick","ACCESOIRE",4,3,"accessoire",3,3
333,"brick","als accessoire in huis zetten",4,3,"accessoire huis zetten",3,3
540,"brick","Achter verstoppen",4,3,"achter verstoppen",2,2
242,"brick","achtergrond foto",4,3,"achtergrond foto",3,3
337,"brick","afkbakening",4,3,"afbakening",2,2
412,"brick","afbrokkelen",4,3,"afbrokkelen",0,2
419,"brick","afbrokkelen",4,3,"afbrokkelen",0,2
738,"brick","afleider",4,3,"afleider",4,4
295,"brick","afscherming",4,3,"afscherming",3,1
474,"brick","iets mee afzetten",4,3,"afzetten",3,2
257,"brick","allerlei soorten meubels",4,3,"allerlei soorten meubels",4,2
783,"brick","alweer",4,3,"alweer",0,0
216,"brick","Amsterdamse school",4,3,"Amsterdamse school",0,1
393,"brick","een ander stuk steen breken",4,3,"ander stuk steen breken",3,2
196,"brick","anker",4,3,"anker",5,3
371,"brick","anker",4,3,"anker",5,3
621,"brick","anker",4,3,"anker",5,3
120,"brick","antraciet",4,3,"antraciet",0,0
330,"brick","appartement",4,3,"appartement",1,1
421,"brick","appartement",4,3,"appartement",1,1
124,"brick","appartementen",4,3,"appartementen",1,1
124,"brick","aquaduct",4,3,"aquaduct",1,1
421,"brick","architect",4,3,"architect",1,1
201,"brick","architectuur",4,3,"architectuur",1,1
546,"brick","architectuur",4,3,"architectuur",1,1
597,"brick","arm",4,3,"arm",0,3
233,"brick","als asbak",4,3,"asbak",5,3
738,"brick","asbak",4,3,"asbak",5,3
206,"brick","asfalt",4,3,"asfalt",2,1
324,"brick","Gebruiken om je auto mooier te maken",4,3,"auto mooier",2,3
738,"brick","auto openbreker bij warm weer wanneer een hond in de auto zit",4,3,"auto openbreken warm weer wanneer hond auto zit",2,2
324,"brick","Autos bekrassen",4,3,"auto s bekrassen",2,2
179,"brick","autoruit inslaan",4,3,"autoruit inslaan",3,2
352,"brick","autoruiten breken",4,3,"autoruiten breken",2,2
421,"brick","autoweg",4,3,"autoweg",1,1
415,"brick","bak",4,3,"bak",3,2
426,"brick","bak",4,3,"bak",3,2
546,"brick","bak",4,3,"bak",3,2
678,"brick","bak",4,3,"bak",3,2
115,"brick","bakken",4,3,"bakken",0,2
162,"brick","bakken",4,3,"bakken",0,2
218,"brick","bakken",4,3,"bakken",0,2
224,"brick","Bakken",4,3,"bakken",0,2
237,"brick","bakken",4,3,"bakken",0,2
239,"brick","bakken",4,3,"bakken",0,2
272,"brick","bakken",4,3,"bakken",0,2
361,"brick","bakken",4,3,"bakken",0,2
370,"brick"," bakken",4,3,"bakken",0,2
388,"brick","bakken",4,3,"bakken",0,2
412,"brick","bakken",4,3,"bakken",0,2
415,"brick","bakken",4,3,"bakken",0,2
428,"brick","bakken",4,3,"bakken",0,2
609,"brick","bakken",4,3,"bakken",0,2
681,"brick","Bakken",4,3,"bakken",0,2
714,"brick","bakken",4,3,"bakken",0,2
729,"brick","bakken",4,3,"bakken",0,2
741,"brick","bakken",4,3,"bakken",0,2
168,"brick","bakken bouwen",4,3,"bakken bouwen",1,2
428,"brick","bakker",4,3,"bakker",0,0
242,"brick","bakoven",4,3,"bakoven",2,2
172,"brick","baksteen kunnen fungeren als palen voor een voetbaldoeltje",4,3,"baksteen fungeren palen voetbaldoeltje",3,4
172,"brick","Een baksteen kan gebruikt worden als deurstop",4,3,"baksteen gebruikt deurstopper",3,2
172,"brick","een baksteen kan gebruikt worden om een noot te kraken",4,3,"baksteen gebruikt noot kraken",4,3
172,"brick","baksteen kan je gebruiken om een huis te bouwen",4,3,"baksteen huis bouwen",1,1
666,"brick","baksteenwerpen",4,3,"baksteen werpen",3,2
133,"brick"," bakstenen maken",4,3,"bakstenen",0,1
126,"brick","bakstenen bankje",4,3,"bakstenen bankje",3,2
723,"brick","bakstenen beeld",4,3,"bakstenen beeld",2,3
265,"brick","bal",4,3,"bal",4,4
358,"brick","bal uit de boom gooien",4,3,"bal boom gooien",4,4
204,"brick","balanceren",4,3,"balanceren",2,2
273,"brick","op balanceren",4,3,"balanceren",2,2
356,"brick","balanceren",4,3,"balanceren",2,2
534,"brick","op balanceren",4,3,"balanceren",2,2
564,"brick","op balanceren",4,3,"balanceren",2,2
681,"brick","Balanceren",4,3,"balanceren",2,2
747,"brick","op balanceren",4,3,"balanceren",2,2
214,"brick","balanceren op je hand",4,3,"balanceren hand",2,2
248,"brick","balanceringsmiddel op je hoofd",4,3,"balanceringsmiddel hoofd",2,3
104,"brick","Balans gewicht",4,3,"balans gewicht",2,2
118,"brick","balans gewicht",4,3,"balans gewicht",2,2
495,"brick","balansmiddel",4,3,"balansmiddel",2,2
334,"brick","als ballast",4,3,"ballast",2,2
615,"brick","als balast gebruiken",4,3,"ballast",2,2
405,"brick","om ballon vast te houden",4,3,"ballon vast houden",2,2
313,"brick","meer banen ",4,3,"banen",2,0
477,"brick","bang",4,3,"bang",2,0
170,"brick","Bank",4,3,"bank",3,2
196,"brick","bank",4,3,"bank",3,2
250,"brick","bank",4,3,"bank",3,2
501,"brick","bank",4,3,"bank",3,2
516,"brick","bank",4,3,"bank",3,2
591,"brick","bank",4,3,"bank",3,2
621,"brick","bank",4,3,"bank",3,2
425,"brick","bank zitje",4,3,"bank zitje",3,2
164,"brick","bankje",4,3,"bankje",3,2
723,"brick","bankje",4,3,"bankje",3,2
123,"brick","barbeque",4,3,"barbecue",3,3
189,"brick","barbecue",4,3,"barbecue",3,3
225,"brick","bbq van maken",4,3,"barbecue",3,3
250,"brick","barbaque",4,3,"barbecue",3,3
264,"brick","barbaque",4,3,"barbecue",3,3
744,"brick","barbecue",4,3,"barbecue",3,3
750,"brick","bbq maken",4,3,"barbecue",3,3
543,"brick","bbq van baksteen",4,3,"barbecue baksteen",2,3
150,"brick","door een basket heen gooien",4,3,"basket heen gooien",3,3
170,"brick","Basketbal",4,3,"basketbal",3,4
783,"brick","basketballen",4,3,"basketballen",3,4
161,"brick","bed van maken",4,3,"bed",3,3
170,"brick","Bed",4,3,"bed",3,3
332,"brick","een bed van maken",4,3,"bed",3,3
789,"brick","bed",4,3,"bed",3,3
113,"brick","je bed rechtzetten",4,3,"bed rechtzetten",3,2
504,"brick","bed verhoging",4,3,"bed verhoging",3,2
268,"brick","Iets bedekken",4,3,"bedekken",2,2
783,"brick","bedenk",4,3,"bedenk",0,0
326,"brick","bedreigen",4,3,"bedreigen",0,2
236,"brick","bedrijf",4,3,"bedrijf",0,1
302,"brick","bedrijf ",4,3,"bedrijf",0,1
107,"brick","beeld",4,3,"beeld",3,3
144,"brick","beeld",4,3,"beeld",3,3
169,"brick"," beeld",4,3,"beeld",3,3
206,"brick","beeld",4,3,"beeld",3,2
257,"brick","beeld maken",4,3,"beeld",3,3
507,"brick","een beeld vam iets of iemand",4,3,"beeld",3,3
104,"brick","Beeldhouwen",4,3,"beeldhouwen",3,3
223,"brick","beeldhouwen",4,3,"beeldhouwen",3,3
264,"brick","beeldhouwen",4,3,"beeldhouwen",3,3
294,"brick","beelhouwen",4,3,"beeldhouwen",3,3
299,"brick","beeldhouwen",4,3,"beeldhouwen",3,3
336,"brick","beeldhouwen",4,3,"beeldhouwen",3,3
361,"brick","beeldhouwen",4,3,"beeldhouwen",3,3
410,"brick","beeldhouwen ",4,3,"beeldhouwen",3,3
420,"brick","gebruiken voor beeldhouwen",4,3,"beeldhouwen",3,3
433,"brick","beeldhouwen",4,3,"beeldhouwen",3,3
585,"brick","beeldhouwen",4,3,"beeldhouwen",3,3
382,"brick","beeldhouwmateriaal",4,3,"beeldhouwmateriaal",3,3
214,"brick","een beeldhouwwerk van maken",4,3,"beeldhouwwerk",3,3
344,"brick","beeldhouwwerk ",4,3,"beeldhouwwerk",3,3
426,"brick","begin",4,3,"begin",0,2
275,"brick","begraven",4,3,"begraven",2,2
414,"brick","begraven",4,3,"begraven",2,2
471,"brick","bijtelen met een steen en er een kunstvoorwerp van maken",4,3,"beitelen steen kunstvoorwerp",3,3
214,"brick","bekijken",4,3,"bekijken",2,2
585,"brick","belichten",4,3,"belichten",2,3
420,"brick","belichten in gekleurde lichten/ vellere en minder velle lichten",4,3,"belichten gekleurde lichten fellere minder felle lichten",3,3
222,"brick","beplakken",4,3,"beplakken",2,3
585,"brick","beplakken met foto's",4,3,"beplakken foto s",2,3
585,"brick","beplakken met papier",4,3,"beplakken papier",2,3
420,"brick","beplakken met papierknipsels",4,3,"beplakken papierknipsels",2,3
585,"brick","beplakken met stikkers",4,3,"beplakken stikkers",2,3
585,"brick","beplakken met stukjes spiegel of glas",4,3,"beplakken stukjes spiegel glas",2,3
327,"brick","iets beschadigen",4,3,"beschadigen",2,2
327,"brick","iemand beschadigen",4,3,"beschadigen",2,2
245,"brick","beschermen",4,3,"beschermen",2,2
186,"brick","bescherming",4,3,"bescherming",2,2
295,"brick","bescherming",4,3,"bescherming",2,2
314,"brick","bescherming",4,3,"bescherming",2,2
765,"brick","bescherming",4,3,"bescherming",2,2
113,"brick","beschilderen",4,3,"beschilderen",3,3
194,"brick"," beschilderen",4,3,"beschilderen",2,3
