ID,prompt,response,set,lab,response_cleaned,rater1,rater2
1151,steen,aankleden,5,3,aankleden,4,4
1143,steen,aanrecht,5,3,aanrecht,2,2
1161,steen,aanrecht,5,3,aanrecht,2,2
1148,steen,af afbakening,5,3,af afbakening,2,2
1185,steen,als afbakening van een tuin,5,3,afbakening tuin,2,2
1134,steen,afbreken,5,3,afbreken,2,2
1238,steen,als afgodbeeld gebruiken,5,3,afgodbeeld,3,4
1191,steen,iets anders stuk maken,5,3,anders stuk,2,2
1140,steen,als anker gebruiken,5,3,anker,4,3
1148,steen,als anker,5,3,anker,4,3
1190,steen,anker,5,3,anker,4,3
1139,steen,als anker voor een boot gebruiken,5,3,anker boot,4,3
1225,steen,appartement,5,3,appartement,1,1
1159,steen,aquaduct romeinse stijl,5,3,aquaduct Romeinse stijl,3,2
1157,steen,asbak,5,3,asbak,3,3
1219,steen,auto,5,3,auto,4,4
1182,steen,Auto zonder banden omhoog houden,5,3,auto banden omhoog houden,3,5
1141,steen,bak,5,3,bak,2,2
1142,steen,bak,5,3,bak,2,2
1177,steen,bakken,5,3,bakken,3,2
1225,steen,bakken,5,3,bakken,3,2
1225,steen,bakker,5,3,bakker,0,0
1225,steen,bakker,5,3,bakker,0,0
1241,steen,baksteen,5,3,baksteen,1,1
1214,steen,baksteen keukenbald,5,3,baksteen keukenblad,2,2
1159,steen,baksteen koppen uit schaamte,5,3,baksteen koppen schaamte,5,5
1214,steen,baksteen muur,5,3,baksteen muur,1,1
1214,steen,baksteen openhaard,5,3,baksteen open haard,1,1
1159,steen,baksteenovenpizza,5,3,baksteen ovenpizza,3,1
1214,steen,basteen tafel,5,3,baksteen tafel,4,3
1214,steen,baksteen trap,5,3,baksteen trap,1,1
1207,steen,iets aan een baksteen vastmk\aken en in het water gooien,5,3,baksteen vastmaken water gooien,2,3
1214,steen,baksteen wastafel,5,3,baksteen wastafel,3,2
1214,steen,baksteen wc hok,5,3,baksteen wc hok,1,1
1187,steen,bakstenen op elkaar zetten en een tafel van maken,5,3,bakstenen elkaar zetten tafel,4,3
1196,steen,bakstenenmuur,5,3,bakstenen muur,1,1
1222,steen,bakstenen verven,5,3,bakstenen verven,4,3
1201,steen,als bal gebruiken,5,3,bal,3,3
1219,steen,bal,5,3,bal,3,3
1231,steen,balanceren op je hoofd,5,3,balanceren hoofd,4,3
1161,steen,bank,5,3,bank,3,3
1219,steen,bank,5,3,bank,3,3
1231,steen,barbecue op zetten,5,3,barbecue zetten,3,2
1143,steen,bed,5,3,bed,4,3
1231,steen,een bed maken,5,3,bed,4,3
1183,steen,iemand mee bedreigen,5,3,bedreigen,2,2
1208,steen,beek afzetten,5,3,beek afzetten,2,3
1219,steen,beeld,5,3,beeld,3,3
1223,steen,beeld,5,3,beeld,3,3
1171,steen,beeld bouwen,5,3,beeld bouwen,3,3
1128,steen,beeldhouwen,5,3,beeldhouwen,3,3
1171,steen,beeldhouwen,5,3,beeldhouwen,3,3
1204,steen,beeldhouwen,5,3,beeldhouwen,3,3
1151,steen,een beeldje  van maken ,5,3,beeldje,3,3
1145,steen,begraven,5,3,begraven,3,3
1162,steen,behang,5,3,behang,3,4
1145,steen,behang van de muur verwijderen,5,3,behang muur verwijderen,5,4
1145,steen,bekijken,5,3,bekijken,3,2
1169,steen,bericht in wikkelen en door ruit gooien,5,3,bericht wikkelen ruit gooien,2,5
1225,steen,beschermend,5,3,beschermend,3,3
1166,steen,beschilderen,5,3,beschilderen,4,3
1224,steen, beschilderen,5,3,beschilderen,4,3
1145,steen,beschilderen en als kunst verkopen,5,3,beschilderen kunst verkopen,4,3
1177,steen,bestrating,5,3,bestrating,1,1
1165,steen,bestuderen,5,3,bestuderen,3,3
1228,steen,betaalmiddel,5,3,betaalmiddel,5,4
1187,steen, bibliotheel,5,3,bibliotheek,1,1
1136,steen,biertje openen,5,3,biertje openen,4,2
1135,steen,een bloembak opzetten,5,3,bloembak opzetten,2,2
1168,steen,bloemen in zetten,5,3,bloemen zetten,3,2
1177,steen,blok,5,3,blok,2,2
1192,steen,blokeren,5,3,blokkeren,2,2
1186,steen,boekenhouder,5,3,boekenhouder,4,3
1203,steen,boekenhouder,5,3,boekenhouder,4,3
1138,steen,Boekenhouder voor in de boekenkast,5,3,boekenhouder boekenkast,4,3
1145,steen,als boekenlegger,5,3,boekenlegger,5,4
1147,steen,boeknlegger,5,3,boekenlegger,5,4
1223,steen, boekenplank,5,3,boekenplank,5,4
1184,steen,boekenstandaard,5,3,boekenstandaard,4,3
1131,steen,boekensteun,5,3,boekensteun,4,3
1175,steen,boekensteun,5,3,boekensteun,4,3
1235,steen,boekensteun,5,3,boekensteun,4,3
1239,steen,boekensteun,5,3,boekensteun,4,3
1148,steen,om boot recht te leggen,5,3,boot recht leggen,3,3
1195,steen,boot verzwaren,5,3,boot verzwaren,2,2
1141,steen,bord,5,3,bord,4,3
1156,steen,bord,5,3,bord,4,3
