"ID","prompt","response","set","lab","rater1","rater2","rater3","rater4"
1,"brouette","Brouette blindée et camouflée pouvant également rouler seule en temps de guerre",11,6,4,4,5,NA
1,"brouette","Brouette électrique capable de rouler toute seule avec fonctionnalité guidage intégré, à utiliser dans son jardin seulement",11,6,1,4,5,NA
1,"brouette","Faire une course avec lors d'un parcours (jeu)",10,6,1,1,2,NA
1,"brouette","Transporter des choses",10,6,1,1,1,NA
1,"ceinture","Ceinture avec fonctionnalités technologiques tel que localisation dans l'espace, appel",11,6,4,5,5,NA
1,"ceinture","Ceinture gonflable en cas de noyade",11,6,5,3,4,NA
1,"ceinture","Ceinture qui sert d'arme de combat comme lasso",11,6,1,4,2,NA
1,"ceinture","Ceinture vibromassante si courbatures",11,6,5,4,5,NA
1,"ceinture","Décorer une pièce",10,6,2,1,1,NA
1,"ceinture","Frapper",10,6,1,1,1,NA
1,"ceinture","Ligoter",10,6,1,1,2,NA
1,"ceinture","Offrir",10,6,1,1,1,NA
1,"ceinture","Tenir un pantalon",10,6,1,1,1,NA
2,"brouette","La brouette magique où l'on peut tout mettre dedans. Plus besoin de déménager, la brouette peut tout rétrécir même les cartons, les accessoires etc. La brouette est elle-même transportable au poids réel de la brouette (donc peu importe ce qu'on met, le poids ne change pas)",11,6,1,4,5,NA
2,"brouette","Pour faire une jardinière avec herbes aromatiques",10,6,3,1,4,NA
2,"brouette","Pour l'accrocher au mur et y mettre des papiers ou",10,6,3,2,3,NA
2,"brouette","Pour l'utiliser comme une poussette",10,6,2,1,2,NA
2,"ceinture","La ceinture élastique indestructible pour servir de lance-quelque chose (lancer tout et n'importe quoi)",11,6,3,4,5,NA
2,"ceinture","La ceinture qui s'adapte parfaitement à la taille et la forme du cours pour une silhouette incroyable",11,6,5,4,5,NA
2,"ceinture","Pour faire porte collier au mur",10,6,3,1,2,NA
2,"ceinture","Pour faire une sangle pour porter des bouteilles de lait",10,6,3,2,3,NA
2,"ceinture","Une ceinture avec des trous où l'on peut attacher des crochets pour coller contre le mur et servir de porte-manteau",11,6,3,4,5,NA
3,"brouette","Jardinage",10,6,1,1,1,NA
3,"brouette","on peut la transformer en fontaine",10,6,3,1,4,NA
3,"brouette","peut être un objet d’art moderne",10,6,2,1,3,NA
3,"brouette","pot de fleur",10,6,3,1,1,NA
3,"brouette","Remplie d'eau, piscine mobile pour petit",11,6,2,1,3,NA
3,"brouette","Retourner, utilisable comme un support élévateur",11,6,3,2,3,NA
3,"brouette","transport de charges",10,6,1,1,1,NA
3,"ceinture","Accrocher les sacs de courses à travers les poignées, ils seront autour de la hanche donc bras reposés",11,6,3,2,3,NA
3,"ceinture","Attacher son pantalon",10,6,1,1,1,NA
3,"ceinture","Nunchaku",11,6,5,5,4,NA
3,"ceinture","Permet d'attacher des objets ; exemple : carton quand on n'a pas de scotch ou un rideau",11,6,2,3,2,NA
3,"ceinture","peut être une arme (frapper)",10,6,3,1,1,NA
3,"ceinture","peut remplacer une sangle pour tenir un objet",10,6,2,1,1,NA
4,"brouette","Bac à fleurs",11,6,1,2,1,NA
4,"brouette","Bac à linge",11,6,1,2,2,NA
4,"brouette","Chaise de jardin",11,6,2,2,2,NA
4,"brouette","Décoratif pour y ranger par exemple des bûches près d'une cheminée ou des livres ou des peluches",10,6,3,1,3,NA
4,"brouette","Décoration d'intérieur",11,6,1,2,1,NA
4,"brouette","marche-pied pour être plus grand",11,6,2,1,3,NA
4,"brouette","Poubelle",11,6,3,1,1,NA
4,"brouette","Voiture",11,6,2,1,1,NA
4,"ceinture","attacher",10,6,1,1,1,NA
4,"ceinture","Décoration d'intérieur",11,6,2,3,1,NA
4,"ceinture","En bracelet autour du poignet",10,6,3,1,1,NA
4,"ceinture","Fouet",11,6,1,1,1,NA
4,"ceinture","Indice de mesure (comme un mètre)",11,6,3,2,2,NA
4,"ceinture","Jouet pour chat",11,6,4,2,2,NA
4,"ceinture","Lasso",11,6,1,1,2,NA
4,"ceinture","remplacer la sangle d'un sac",10,6,1,1,1,NA
4,"ceinture","Remplacer une courroie",10,6,3,1,3,NA
4,"ceinture","Serre-tête",11,6,2,1,2,NA
4,"ceinture","Soulever un objet lourd",10,6,2,1,1,NA
5,"brouette","Baignoire",11,6,2,1,1,NA
5,"brouette","Cabane",11,6,2,1,2,NA
5,"brouette","Emmener les enfants",10,6,3,2,3,NA
5,"brouette","Faire une maison pour animaux l'hiver",10,6,2,1,3,NA
5,"brouette","Lit",11,6,1,1,1,NA
5,"brouette","Moyen de transport",11,6,1,1,1,NA
5,"brouette","Remorque",11,6,3,2,2,NA
5,"brouette","Siège",11,6,2,1,1,NA
5,"ceinture","Attacher mes ruches lors du transport en voiture",10,6,2,5,4,NA
5,"ceinture","Brassard",11,6,5,2,2,NA
5,"ceinture","Cale-porte",11,6,5,3,3,NA
5,"ceinture","Collier pour chat",11,6,1,2,2,NA
5,"ceinture","Fouet",11,6,1,1,1,NA
5,"ceinture","Garrot",11,6,2,1,1,NA
5,"ceinture","Laisse",11,6,1,1,1,NA
5,"ceinture","poignée à rallonger Quand un sac est petit mais très lourd et que l'on souhaite le mettre en bandoulière pour",10,6,2,3,4,NA
5,"ceinture","Sangle",11,6,2,2,2,NA
5,"ceinture","Skis",11,6,5,5,4,NA
6,"brouette","Décoration",10,6,2,1,1,NA
6,"brouette","Déménagement",10,6,1,1,1,NA
6,"brouette","Jeu enfants",10,6,1,1,1,NA
6,"brouette","La remplir d'eau et en faire une pataugeoire",11,6,3,1,3,NA
6,"brouette","Transport",10,6,1,1,1,NA
6,"brouette","Transporter des enfants",11,6,1,1,1,NA
6,"ceinture","Musculation",10,6,3,3,3,NA
6,"ceinture","Pantalon",10,6,1,1,1,NA
6,"ceinture","Punition",10,6,1,1,2,NA
6,"ceinture","S'en servir de laisse pour promener un chien",11,6,1,2,2,NA
7,"brouette","Cabane",11,6,2,1,2,NA
7,"brouette","Décoration",10,6,2,1,1,NA
7,"brouette","Décoration d'intérieur",11,6,1,2,1,NA
7,"brouette","Déplacements",10,6,1,1,1,NA
7,"brouette","Moyen de transport",11,6,1,1,1,NA
7,"ceinture","Attacher des objets ensemble",11,6,2,2,1,NA
7,"ceinture","L'utiliser pour des jeux (puits pour jouer aux billes en l'enroulant)",11,6,5,4,4,NA
7,"ceinture",NA,10,6,NA,NA,NA,NA
8,"brouette","Caddie",10,6,1,1,1,NA
8,"brouette","chaise",10,6,2,1,1,NA
8,"brouette","Pot de fleur",10,6,3,1,1,NA
8,"brouette","Ramasse-ordure",11,6,3,3,2,NA
8,"brouette","Retourner contre un arbre pour abriter le chat/chien quand il pleut",11,6,3,2,3,NA
8,"brouette","Véhicule pour transporter les enfants quand ils sont fatigués de marcher",11,6,1,1,2,NA
8,"brouette","voiture",10,6,2,1,1,NA
8,"ceinture","Collier",10,6,2,1,1,NA
8,"ceinture","Corde de pendaison",10,6,1,4,3,NA
8,"ceinture","Fouet",10,6,1,1,1,NA
8,"ceinture","L'attacher autour d'une branche en hauteur et se balancer (comme la corde de Tarzan)",11,6,2,5,4,NA
8,"ceinture","L'utiliser comme attaches",11,6,2,2,1,NA
8,"ceinture","L'utiliser comme licol pour ramener un cheval",11,6,4,1,4,NA
8,"ceinture","Laisse",10,6,3,1,1,NA
9,"brouette","Bateau facilement mettable dans l'eau avec ses roues",11,6,3,4,3,NA
9,"brouette","Bouclier sur roulette",11,6,5,4,4,NA
9,"brouette","Escabeau portatif (différentes hauteurs en fonction du côté sur lequel on s'appuie)",11,6,3,2,3,NA
9,"brouette","Linge",10,6,3,1,1,NA
9,"brouette","Mini-piscine portative",11,6,2,1,3,NA
9,"brouette","Piscine à boule",11,6,2,3,4,NA
9,"brouette","Toit pour une cabane dans les arbres",11,6,5,3,4,NA
9,"ceinture","Compas pour tracer des cercles ou ellipses en fixant un stylo à un endroit au centre de la ceinture et l'autre stylo tourne le long de la ceinture",11,6,5,3,5,NA
9,"ceinture","Fermeture de anses de sac à main",11,6,2,2,2,NA
9,"ceinture","Porte-cintres pour gagner de la place (dans les crans de la ceinture)",11,6,2,3,4,NA
9,"ceinture",NA,10,6,NA,NA,NA,NA
10,"brouette","Dormir dedans",10,6,2,3,2,NA
10,"brouette","Enfermer quelque chose en dessous pour qu’il ne puisse pas fuir",10,6,2,4,4,NA
10,"brouette","S’en servir comme table",10,6,3,2,2,NA
10,"brouette","Transporter des éléments sur un chemin",10,6,1,1,2,NA
10,"brouette","Une brouette volante qui n'aurait plus besoin d'être pousser ou porter",11,6,1,4,4,NA
10,"ceinture","Créer un espace fermé",10,6,2,4,3,NA
10,"ceinture","Faire un garrot",10,6,2,1,1,NA
10,"ceinture","Rassembler des objets",10,6,2,1,2,NA
10,"ceinture","Suspendre des affaires",10,6,2,1,1,NA
10,"ceinture","Tuer quelqu’un",10,6,2,5,3,NA
10,"ceinture","Une ceinture ayant des options comme le GPS par exemple. Elle enverrait des informations à notre cerveau qui nous permettrait de trouver notre chemin seul sans avoir besoin de téléphone",11,6,4,4,5,NA
10,"ceinture","Une ceinture qui nous permet d'être invisible dés qu'on la porte",11,6,4,5,5,NA
11,"brouette","Dévaler des pentes pour faire une course entre amis, chacun dans une brouette",11,6,1,2,3,NA
11,"brouette","Empiler des brouettes à la verticale, les unes à côté des autres, pour servir d'étagère dans le jardin",11,6,4,3,4,NA
11,"brouette","un jardin mobile",10,6,3,3,3,NA
11,"brouette","Un pot de fleur",10,6,3,1,1,NA
11,"brouette","une bibliothèque",10,6,3,4,2,NA
11,"brouette","une remorque",10,6,2,1,2,NA
11,"brouette","Utiliser plusieurs brouettes pour faire un parcours (escalader, etc.)",11,6,5,3,3,NA
